model,horizon,feature_set,mode,feature,members,baseline_f1,knockout_f1,importance,is_thyroid,cache_key
ENSEMBLE,7,CV17,multi,cluster_4,Age,0.7478829876449771,0.6824579537453749,1.0958667615206845,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,multi,cluster_2,"Previous_CABG, Previous_PCI, Previous_MI, PostIsch_DCM, fe",0.7478829876449771,0.6847118953989183,1.092259376053712,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,multi,cluster_1,"Angina, Angiography, Vessels, Ischemia, Dyslipidemia, AFib",0.7478829876449771,0.7325034818941505,1.0209958124855016,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,multi,cluster_5,Hypertension,0.7478829876449771,0.7400236880466473,1.0106203351666687,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,multi,cluster_6,Diabetes,0.7478829876449771,0.7443899312821535,1.0046925088801337,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,multi,cluster_7,Acute_MI,0.7478829876449771,0.7481257649938801,0.9996754859139159,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,multi,cluster_3,"Gender, Smoke",0.7478829876449771,0.7502801240753997,0.9968050114170668,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Age,Age,0.7478829876449771,0.6824579537453749,1.0958667615206845,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Vessels,Vessels,0.7478829876449771,0.7112203984463099,1.0515488437603282,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,fe,fe,0.7478829876449771,0.7166934172698564,1.043518706358338,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Dyslipidemia,Dyslipidemia,0.7478829876449771,0.7321478775649373,1.021491710298162,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Ischemia,Ischemia,0.7478829876449771,0.7361044993176629,1.0160011089977474,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Hypertension,Hypertension,0.7478829876449771,0.7400236880466473,1.0106203351666687,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Diabetes,Diabetes,0.7478829876449771,0.7443899312821535,1.0046925088801337,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Previous_CABG,Previous_CABG,0.7478829876449771,0.7459622175851676,1.0025748892028707,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Smoke,Smoke,0.7478829876449771,0.7476343557354109,1.0003325581651763,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Acute_MI,Acute_MI,0.7478829876449771,0.7481257649938801,0.9996754859139159,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Previous_PCI,Previous_PCI,0.7478829876449771,0.7524253717125068,0.9939630105013719,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Gender,Gender,0.7478829876449771,0.7529525131051495,0.9932671378713301,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,PostIsch_DCM,PostIsch_DCM,0.7478829876449771,0.7532077563830426,0.9929305444707109,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Previous_MI,Previous_MI,0.7478829876449771,0.7533558066083577,0.9927354127818839,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,AFib,AFib,0.7478829876449771,0.7556530792958829,0.9897173824023241,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Angiography,Angiography,0.7478829876449771,0.7569840133619661,0.987977255059101,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17,single,Angina,Angina,0.7478829876449771,0.7574049513704686,0.9874281733856344,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,multi,cluster_5,"Gender, Angina, Previous_CABG, Previous_PCI, Previous_MI, Angiography, Vessels, Ischemia, PostIsch_DCM, Smoke, Dyslipidemia, AFib, fe",0.7361968142354882,0.5388454911931486,1.3662484446243592,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,multi,cluster_2,"Age, fT3, Low_T3",0.7361968142354882,0.6365179412343073,1.1566002567152909,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,multi,cluster_1,"TSH, fT4, SCH, SCT, Hyperthyroid",0.7361968142354882,0.7221958550862205,1.0193866512119434,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,multi,cluster_7,Hypertension,0.7361968142354882,0.7253462113687479,1.014959205268702,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,multi,cluster_3,Acute_MI,0.7361968142354882,0.7294838335508192,1.0092023707393116,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,multi,cluster_6,Diabetes,0.7361968142354882,0.7318215475749723,1.0059785977538023,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,multi,cluster_4,Hypothyroid,0.7361968142354882,0.7361968142354882,1.0,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Age,Age,0.7361968142354882,0.653531000224387,1.126491037124051,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,fe,fe,0.7361968142354882,0.6949118888061554,1.059410302362591,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Dyslipidemia,Dyslipidemia,0.7361968142354882,0.7159792588364017,1.0282376272071676,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,TSH,TSH,0.7361968142354882,0.7221958550862205,1.0193866512119434,True,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Angiography,Angiography,0.7361968142354882,0.7249852086451118,1.0154645990796545,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Hypertension,Hypertension,0.7361968142354882,0.7253462113687479,1.014959205268702,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,PostIsch_DCM,PostIsch_DCM,0.7361968142354882,0.726462707956882,1.0133993199815896,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Gender,Gender,0.7361968142354882,0.7282010145631617,1.010980209464722,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,Acute_MI,Acute_MI,0.7361968142354882,0.7294838335508192,1.0092023707393116,False,1d225cfbcbdb0d4d706d
ENSEMBLE,7,CV17_THY_CONT_STATES,single,AFib,AFib,0.7361968142354882,0.7295989821127904,1.0090430939248183,False,1d225cfbcbdb0d4d706d
