model,horizon,base,feature_set,delta_f1_macro,delta_f1_ci_lo,delta_f1_ci_hi,delta_auroc,delta_auroc_ci_lo,delta_auroc_ci_hi,scheme,cache_key
ENSEMBLE,7,CV17,CV17_THY_CONT_STATES,-0.0011110286764137722,-0.010848964982736839,0.008759770705476295,0.0033376575730548197,-0.0001875261052829202,0.007128114809219632,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_CONT_STATES,-0.011686173409488854,-0.039772989467317006,0.019036840889174685,0.0018863179074447567,-0.00667566518496134,0.010730902892153487,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_ABNORMAL_BIN,-0.008155231140346775,-0.01714231831121356,0.001027632137490802,0.000371556870106593,-0.002038063151050784,0.0028565427048096335,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_ABNORMAL_BIN,-0.029947998694324296,-0.0642259420368008,0.008220582915870972,0.0009389671361502705,-0.005547242285307691,0.007798528288454739,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_STATE_ORD,-0.005457890621930361,-0.012562294602790647,0.0013906445362365618,0.0019383830955336245,0.00021432909590488047,0.0037823798363827237,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_STATE_ORD,0.014809534556747606,-0.009114499871463113,0.038382861838950656,-0.000653923541247492,-0.004771749117152005,0.00386359882729623,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_CONT,0.006055227320447165,-0.003194886820084891,0.015362888440317203,0.004165717708413896,0.000881797914993121,0.007706666059457267,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_CONT,-0.0038200236361227713,-0.03369764727048159,0.030348890922973867,0.002171361502347424,-0.005284537264045958,0.00953060294515773,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_STATES,-0.005985081470376796,-0.014048035560275302,0.002620431746047889,0.00017624704819640957,-0.002161478584472931,0.0025509668900147633,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_STATES,-0.00025760689076193,-0.024563098322108765,0.025037581758222172,-0.00044433266264243265,-0.006401510621224021,0.0062300044111361745,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_CONT_STATES_RATIO,-0.0026064637992179174,-0.013049045259696137,0.007839449788962175,0.0031199406311651634,-0.0007035744721073211,0.007177945759398795,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_CONT_STATES_RATIO,-0.03061224450568767,-0.06615330401645796,0.005646610782344133,0.0028672032193158836,-0.006305784250892268,0.013077525228043754,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_CONT_RATIO,-0.002622579784948287,-0.01328396726180607,0.007610537206392217,0.0040653873204464785,0.0005597007646371389,0.00787885530259353,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,7,CV17,CV17_THY_CONT_RATIO,0.014033020787419415,-0.010932595034082306,0.041865636858106965,0.0032276995305163814,-0.004788426027424233,0.011774221953193581,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT_STATES,0.0012078436716610463,-0.0087754740430087,0.01100229830805727,0.0018826798487816543,-0.0015574763738509495,0.005600704524360711,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT_STATES,-0.012872570930219207,-0.036583385327417554,0.009117983097137312,0.003430261832829795,-0.00439679480969069,0.01066218746863718,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_ABNORMAL_BIN,-0.004627348474045889,-0.012307650760154975,0.003039644974571008,0.0007890643483863258,-0.0013247105639932505,0.003000113030538867,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_ABNORMAL_BIN,0.00993429608686025,-0.007491784680780247,0.025810564219987394,0.002391742195367641,-0.002797687216192979,0.007897780435196414,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_STATE_ORD,0.00521927952813539,-0.0022142959915530196,0.01279602035646132,0.001041388753253214,-0.0008720897253331,0.003183267861120875,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_STATE_ORD,0.004963469645485219,-0.010898817422562828,0.02050304900946698,0.00033043806646515517,-0.0038213703258952567,0.0050374439229798895,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT,0.003776286715444832,-0.005048932381173102,0.012586812786343165,0.003105918360155613,-0.0003425190441830344,0.00646337709974547,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT,-0.0054072172676824515,-0.032666523482979944,0.019877801013720962,0.002627769385699863,-0.004464503383603507,0.009368173413567481,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_STATES,5.872644443649655e-05,-0.007147212397195629,0.006551480387172019,0.0017429890311246865,-0.00040238759721366034,0.00403536225269025,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_STATES,-0.008850623246299705,-0.03221906569095416,0.014936615413185732,0.002454682779456152,-0.002104565804606265,0.007159561412731602,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT_STATES_RATIO,0.005550355421800934,-0.004476813423157033,0.0165811733103513,0.003485978062249151,-0.0002577261010534293,0.007542012867156891,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT_STATES_RATIO,-0.016080164624601156,-0.04376801103525598,0.009427222279275543,0.002690709969788596,-0.005467869075235548,0.010368542256327369,B_60_20_20,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT_RATIO,0.0003136152124368907,-0.010438710135717885,0.011128150344801562,0.0029624521149944627,-0.0008337632317171994,0.006743225374253436,A_5fold_cv,01e91fb710f7f0d1c2d3
ENSEMBLE,10,CV17,CV17_THY_CONT_RATIO,-0.007528380498311726,-0.03187739110992882,0.01581904949115923,0.003697759315206439,-0.004477267189159603,0.011447282327254582,B_60_20_20,01e91fb710f7f0d1c2d3
