model,horizon,scheme,feature_set,c_index,n,events,c_index_ci_lo,c_index_ci_hi,cache_key
ENSEMBLE,7,A,CV17,0.8106889961766285,4390.0,843.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,7,A,CV17_THY_CONT_STATES,0.8145625964961796,4390.0,843.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,7,A,DELTA(CV17_THY_CONT_STATES-CV17),0.003873600319551085,,,0.000526697598039319,0.0073092755993149515,54b10f7aeb53ca23dc4a
ENSEMBLE,7,B,CV17,0.8203964347878279,878.0,168.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,7,B,CV17_THY_CONT_STATES,0.8236450393133665,878.0,168.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,7,B,DELTA(CV17_THY_CONT_STATES-CV17),0.0032486045255386564,,,-0.004445515920756018,0.01082353521389228,54b10f7aeb53ca23dc4a
ENSEMBLE,10,A,CV17,0.7924427850848753,2614.0,962.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,10,A,CV17_THY_CONT_STATES,0.7948434177130025,2614.0,962.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,10,A,DELTA(CV17_THY_CONT_STATES-CV17),0.002400632628127175,,,-0.0006023697226035074,0.0055681552733247005,54b10f7aeb53ca23dc4a
ENSEMBLE,10,B,CV17,0.7889902654110634,523.0,192.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,10,B,CV17_THY_CONT_STATES,0.7927766174440902,523.0,192.0,,,54b10f7aeb53ca23dc4a
ENSEMBLE,10,B,DELTA(CV17_THY_CONT_STATES-CV17),0.0037863520330267963,,,-0.0029306802388674473,0.009614565566096201,54b10f7aeb53ca23dc4a
