model,horizon,scheme,feature_set,c_index,n,events,c_index_ci_lo,c_index_ci_hi,cache_key
ENS_STACK,7,A,CV17,0.8109455220390995,4390.0,843.0,,,04087f75e42ddd000a9e
ENS_STACK,7,A,CV17_THY_CONT_STATES,0.8131747258043491,4390.0,843.0,,,04087f75e42ddd000a9e
ENS_STACK,7,A,DELTA(CV17_THY_CONT_STATES-CV17),0.002229203765249599,,,-0.0009095974680238233,0.005323753433939654,04087f75e42ddd000a9e
ENS_STACK,7,B,CV17,0.8209366184502731,878.0,168.0,,,04087f75e42ddd000a9e
ENS_STACK,7,B,CV17_THY_CONT_STATES,0.8233899525838785,878.0,168.0,,,04087f75e42ddd000a9e
ENS_STACK,7,B,DELTA(CV17_THY_CONT_STATES-CV17),0.0024533341336053782,,,-0.004035075277810288,0.009580284920598925,04087f75e42ddd000a9e
ENS_STACK,10,A,CV17,0.7923072497740266,2614.0,962.0,,,04087f75e42ddd000a9e
ENS_STACK,10,A,CV17_THY_CONT_STATES,0.7936981930900393,2614.0,962.0,,,04087f75e42ddd000a9e
ENS_STACK,10,A,DELTA(CV17_THY_CONT_STATES-CV17),0.0013909433160127493,,,-0.0016138866603989859,0.004453238006067197,04087f75e42ddd000a9e
ENS_STACK,10,B,CV17,0.7890635496439607,523.0,192.0,,,04087f75e42ddd000a9e
ENS_STACK,10,B,CV17_THY_CONT_STATES,0.7923491260855227,523.0,192.0,,,04087f75e42ddd000a9e
ENS_STACK,10,B,DELTA(CV17_THY_CONT_STATES-CV17),0.0032855764415619104,,,-0.0044206535385886755,0.010176637124439045,04087f75e42ddd000a9e
