horizon,feature_set,model,protocol,threshold,signature,cache_hit,under_ratio,over_sampler,k_neighbors,selection_validation_f1,split,n,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier
7,CV17,LogisticRegression,paper_sampling_refinement,0.5,f8aceb7f05c9ab088574a5c50f623906bd56da4a53ea2af84b4080179a172d8c,False,,SVMSMOTE,4,0.717144595206958,validation,878,0.7097520661157025,0.8362474023752098,0.46484375,0.7041420118343196,0.9196141479099679,0.8067700987306065,0.15016962096024208
7,CV17,LogisticRegression,paper_sampling_refinement,0.5,f8aceb7f05c9ab088574a5c50f623906bd56da4a53ea2af84b4080179a172d8c,False,,SVMSMOTE,4,0.717144595206958,test,878,0.7225879317598223,0.8409121395036889,0.47547169811320755,0.75,0.9314845024469821,0.8042253521126761,0.1475251660864674
7,CV17,RandomForest,paper_sampling_refinement,0.5,aa7f57f276cecdfb6849e91c222d4304623853b898631478b95fc60e2926a466,False,,SVMSMOTE,2,0.736761999581215,validation,878,0.7301020696231517,0.8227522721392744,0.5654761904761905,0.5621301775147929,0.895774647887324,0.8970380818053597,0.12616677379672428
7,CV17,RandomForest,paper_sampling_refinement,0.5,aa7f57f276cecdfb6849e91c222d4304623853b898631478b95fc60e2926a466,False,,SVMSMOTE,2,0.736761999581215,test,878,0.7443115979659622,0.8308014755197854,0.569060773480663,0.6130952380952381,0.9067431850789096,0.8901408450704226,0.12320639786025352
7,CV17,AdaBoost,paper_sampling_refinement,0.5,5d75a53c7edf1ecaa4d5bb82c4d3b5924e2cd6d451affed5aa734e5d85774efd,False,0.25,SMOTE,4,0.7194660998974525,validation,878,0.726933443914576,0.841872459752464,0.5167464114832536,0.6390532544378699,0.9088191330343797,0.8575458392101551,0.20806476868318344
7,CV17,AdaBoost,paper_sampling_refinement,0.5,5d75a53c7edf1ecaa4d5bb82c4d3b5924e2cd6d451affed5aa734e5d85774efd,False,0.25,SMOTE,4,0.7194660998974525,test,878,0.7279758261933904,0.8185320254862508,0.5141509433962265,0.6488095238095238,0.9114114114114115,0.8549295774647887,0.21005508299626485
7,CV17_THY26,LogisticRegression,paper_sampling_refinement,0.5,bf8496a7a2e4a73909815d6fafb248d919a578ae7fda93dd296267613a0ba407,False,0.25,SVMSMOTE,4,0.7040056599749336,validation,878,0.7001969968918269,0.8268500513265622,0.45038167938931295,0.6982248520710059,0.9172077922077922,0.7968970380818053,0.15504034816051468
7,CV17_THY26,LogisticRegression,paper_sampling_refinement,0.5,bf8496a7a2e4a73909815d6fafb248d919a578ae7fda93dd296267613a0ba407,False,0.25,SVMSMOTE,4,0.7040056599749336,test,878,0.7207470356342806,0.8359238765928907,0.4690909090909091,0.7678571428571429,0.9353233830845771,0.7943661971830986,0.15173667620217943
7,CV17_THY26,RandomForest,paper_sampling_refinement,0.5,44ed56c8486931eda54c908c3234282860db761b04707b89e087216f9d725767,False,,SVMSMOTE,3,0.7327557018601677,validation,878,0.733774150308551,0.8233197853464751,0.5714285714285714,0.5680473372781065,0.8971830985915493,0.8984485190409027,0.12276437227309943
7,CV17_THY26,RandomForest,paper_sampling_refinement,0.5,44ed56c8486931eda54c908c3234282860db761b04707b89e087216f9d725767,False,,SVMSMOTE,3,0.7327557018601677,test,878,0.7349712613169623,0.8417588866532529,0.5672514619883041,0.5773809523809523,0.8995756718528995,0.895774647887324,0.1177182963852882
7,CV17_THY26,AdaBoost,paper_sampling_refinement,0.5,952b9fca92ba13c66f5a5d58a630f78ad6a058d35c5b3013ff2b873f1b9019eb,False,0.4,SMOTE,4,0.713857350867878,validation,878,0.7183407079646018,0.8329967201074937,0.48917748917748916,0.6686390532544378,0.9134466769706336,0.8335684062059239,0.19984758728408256
7,CV17_THY26,AdaBoost,paper_sampling_refinement,0.5,952b9fca92ba13c66f5a5d58a630f78ad6a058d35c5b3013ff2b873f1b9019eb,False,0.4,SMOTE,4,0.713857350867878,test,878,0.7229916794079816,0.8251634808853119,0.49777777777777776,0.6666666666666666,0.9142419601837672,0.8408450704225352,0.2005383954973334
10,CV17,LogisticRegression,paper_sampling_refinement,0.5,48dc3ad3da0fb28a88d103b1d2e9d8f1f2e13fb45f6efa36965a552373a180a5,False,,SVMSMOTE,3,0.7316926523347587,validation,523,0.726262315270936,0.8083686607002669,0.6338028169014085,0.6994818652849741,0.8129032258064516,0.7636363636363637,0.17643178580394137
10,CV17,LogisticRegression,paper_sampling_refinement,0.5,48dc3ad3da0fb28a88d103b1d2e9d8f1f2e13fb45f6efa36965a552373a180a5,False,,SVMSMOTE,3,0.7316926523347587,test,523,0.7479593988132887,0.8520581570996979,0.6322314049586777,0.796875,0.8612099644128114,0.7311178247734139,0.1656956717389395
10,CV17,RandomForest,paper_sampling_refinement,0.5,acc0739c56470d122ed176c096fcc72cf5404903aecb1b0856e5aeef1af6368e,False,,SVMSMOTE,4,0.7368523217917229,validation,523,0.7365650807286074,0.8024572146333805,0.6616161616161617,0.6787564766839378,0.8092307692307692,0.796969696969697,0.17186143058583503
10,CV17,RandomForest,paper_sampling_refinement,0.5,acc0739c56470d122ed176c096fcc72cf5404903aecb1b0856e5aeef1af6368e,False,,SVMSMOTE,4,0.7368523217917229,test,523,0.7609179288696553,0.8491314199395771,0.6592920353982301,0.7760416666666666,0.8552188552188552,0.7673716012084593,0.15652677019626435
10,CV17,AdaBoost,paper_sampling_refinement,0.5,0405b35a76b1aded8f326bb53e831a55f5a59e6645f7eaabba9230def96a9096,False,,SVMSMOTE,2,0.7298967771850993,validation,523,0.729926672251357,0.7988224211022138,0.6318181818181818,0.7202072538860104,0.8217821782178217,0.7545454545454545,0.19837475739903843
10,CV17,AdaBoost,paper_sampling_refinement,0.5,0405b35a76b1aded8f326bb53e831a55f5a59e6645f7eaabba9230def96a9096,False,,SVMSMOTE,2,0.7298967771850993,test,523,0.74501200120012,0.8538755664652569,0.625,0.8072916666666666,0.8654545454545455,0.7190332326283988,0.18829462362119612
