horizon,feature_set,model,protocol,threshold,signature,cache_hit,best_cv_score,split,n,f1_macro,roc_auc,precision_1,recall_1,precision_0,recall_0,brier
7,CV17,LogisticRegression,paper_random_search,0.5,5576e0526385232150ccf74ed977d697a255026ba12a831583681687428733ce,True,0.7106334676992787,validation,878,0.7314850340022576,0.8358718421645621,0.5087719298245614,0.6863905325443787,0.9184615384615384,0.842031029619182,0.13725675820047895
7,CV17,LogisticRegression,paper_random_search,0.5,5576e0526385232150ccf74ed977d697a255026ba12a831583681687428733ce,True,0.7106334676992787,test,878,0.7284020296855073,0.8396965124077801,0.49382716049382713,0.7142857142857143,0.9244094488188976,0.8267605633802817,0.13752948891231095
7,CV17,SVC,paper_random_search,0.5,50ef390f2ba9ca5fc4291974fbba86880a41beb54a817671964c882219c972d4,True,0.6554126757630026,validation,878,0.5153471722730542,0.7499812219894675,0.5909090909090909,0.07692307692307693,0.8177570093457944,0.9873060648801129,0.13469153474465834
7,CV17,SVC,paper_random_search,0.5,50ef390f2ba9ca5fc4291974fbba86880a41beb54a817671964c882219c972d4,True,0.6554126757630026,test,878,0.5286311929579319,0.7535630449362845,0.7142857142857143,0.08928571428571429,0.8214702450408401,0.9915492957746479,0.13266840088791296
7,CV17,KNeighbors,paper_random_search,0.5,014cfa341c4d7033f42309709a04687ac5277f2b880b8666b5a44a6f41735972,True,0.6409565852730341,validation,878,0.6602262971078563,0.7367740212483621,0.5978260869565217,0.3254437869822485,0.8549618320610687,0.9478138222849083,0.13585421412300683
7,CV17,KNeighbors,paper_random_search,0.5,014cfa341c4d7033f42309709a04687ac5277f2b880b8666b5a44a6f41735972,True,0.6409565852730341,test,878,0.6478458971506802,0.7493460764587525,0.6125,0.2916666666666667,0.8508771929824561,0.956338028169014,0.13189066059225513
7,CV17,RandomForest,paper_random_search,0.5,205fd6543e523efc4bb448f27dafa9769ffb9e2000182f682765661651f4b201,True,0.7202049330607365,validation,878,0.7320560888416814,0.8313150449420386,0.538860103626943,0.6153846153846154,0.9051094890510949,0.8744710860366713,0.13010694250008364
7,CV17,RandomForest,paper_random_search,0.5,205fd6543e523efc4bb448f27dafa9769ffb9e2000182f682765661651f4b201,True,0.7202049330607365,test,878,0.7421610700413481,0.8395120724346076,0.545,0.6488095238095238,0.9129793510324484,0.8718309859154929,0.1278132155366834
7,CV17,AdaBoost,paper_random_search,0.5,744182fea615977ee2c7f789ce0e32dee1b4acbde6c2358ca282d9f77f66d577,True,0.6993058212005838,validation,878,0.7300170248723135,0.8501222657130219,0.73,0.4319526627218935,0.8766066838046273,0.9619181946403385,0.17672914920846364
7,CV17,AdaBoost,paper_random_search,0.5,744182fea615977ee2c7f789ce0e32dee1b4acbde6c2358ca282d9f77f66d577,True,0.6993058212005838,test,878,0.6847188018102222,0.830617035546613,0.6421052631578947,0.3630952380952381,0.8633461047254151,0.952112676056338,0.17850657804328046
7,CV17,MLP,paper_random_search,0.5,92d034ef811109130385e584b222190db2703a9147a464ca55b7fc1dc695376f,True,0.7175083167936799,validation,878,0.7227686772810777,0.8368149155824105,0.6608695652173913,0.44970414201183434,0.8781127129750983,0.9449929478138223,0.11244121411458466
7,CV17,MLP,paper_random_search,0.5,92d034ef811109130385e584b222190db2703a9147a464ca55b7fc1dc695376f,True,0.7175083167936799,test,878,0.7302041917361576,0.8389922870556674,0.6504065040650406,0.47619047619047616,0.8834437086092716,0.9394366197183098,0.10815000693140366
7,CV17,GradientBoosting,paper_random_search,0.5,b41077900a1abc92230b6535bb8bbc3a56b6a408055c210d3520f298ce2466e0,True,0.7099866291564613,validation,878,0.693006993006993,0.8425150850017944,0.6813186813186813,0.3668639053254438,0.8640406607369758,0.9590973201692524,0.11152260322888173
7,CV17,GradientBoosting,paper_random_search,0.5,b41077900a1abc92230b6535bb8bbc3a56b6a408055c210d3520f298ce2466e0,True,0.7099866291564613,test,878,0.6898622394913458,0.84518779342723,0.6428571428571429,0.375,0.8653846153846154,0.9507042253521126,0.10727760076029268
7,CV17,XGBoost,paper_random_search,0.5,636069859b582d39d3eddb8f9071e6f7d73abb1a5cce8c4d496c99648698e3e7,True,0.7227369511746797,validation,878,0.7373878364905284,0.8386426419408952,0.5730994152046783,0.5798816568047337,0.8995756718528995,0.8970380818053597,0.1190731332716594
7,CV17,XGBoost,paper_random_search,0.5,636069859b582d39d3eddb8f9071e6f7d73abb1a5cce8c4d496c99648698e3e7,True,0.7227369511746797,test,878,0.7498623008110008,0.8364939637826962,0.6,0.5892857142857143,0.9032258064516129,0.9070422535211268,0.11801284612370874
7,CV17_THY26,LogisticRegression,paper_random_search,0.5,63007491a1d13cdc8d874046410163c4dae5fd79274140a21932c1c98e0bdfeb,True,0.7104199962302642,validation,878,0.6934892651422586,0.8180202134851153,0.45188284518828453,0.6390532544378699,0.9045383411580594,0.8152327221438646,0.14711320977606493
7,CV17_THY26,LogisticRegression,paper_random_search,0.5,63007491a1d13cdc8d874046410163c4dae5fd79274140a21932c1c98e0bdfeb,True,0.7104199962302642,test,878,0.7242917794319714,0.8223172367538565,0.4896265560165975,0.7023809523809523,0.9215070643642073,0.8267605633802817,0.14539191085794093
7,CV17_THY26,SVC,paper_random_search,0.5,23979e07bae4b16fdea7015268379da7980ee99c341b150d48c5d5d30380b70b,True,0.6730903198824671,validation,878,0.5147300771208226,0.671309703641265,0.45161290322580644,0.08284023668639054,0.8170011806375442,0.9760225669957687,0.14653878285245245
7,CV17_THY26,SVC,paper_random_search,0.5,23979e07bae4b16fdea7015268379da7980ee99c341b150d48c5d5d30380b70b,True,0.6730903198824671,test,878,0.511146999736262,0.6919810529845742,0.4482758620689655,0.07738095238095238,0.817432273262662,0.9774647887323944,0.1431833035775891
7,CV17_THY26,KNeighbors,paper_random_search,0.5,7c98632629829a9cadd6aee38a276dbf8205d823ec0c2354ba8215b7a7344b69,True,0.6465448477799459,validation,878,0.6334991114768567,0.6978826749901936,0.47413793103448276,0.3254437869822485,0.8503937007874016,0.9139633286318759,0.150209845838942
7,CV17_THY26,KNeighbors,paper_random_search,0.5,7c98632629829a9cadd6aee38a276dbf8205d823ec0c2354ba8215b7a7344b69,True,0.6465448477799459,test,878,0.6721400817479941,0.7274480214621061,0.6020408163265306,0.35119047619047616,0.8602564102564103,0.9450704225352112,0.1397702073678087
