cohort,feature_set,method,brier_score,roc_auc,f1_macro_default,selected_threshold,f1_macro_selected_threshold,model,sampler,best_params,selection_source,selection_score,n_train,n_test
strict,CV17,base,0.14183096476164153,0.843862373324616,0.7317821366292021,0.66,0.7448245025709814,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.1}",tuning,0.7346745809280739,3073,1317
strict,CV17,isotonic,0.10850137743801228,0.8445626170168503,0.6925547586273515,0.66,0.6171373147405128,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.1}",tuning,0.7346745809280739,3073,1317
strict,CV17,sigmoid,0.10881295948005977,0.8446201967369017,0.6973165562760938,0.66,0.6065923681037573,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.1}",tuning,0.7346745809280739,3073,1317
strict,CV17_THY26,base,0.11477807570236132,0.8373057148800858,0.748970347503046,0.485,0.7478646324222431,HistGradientBoosting,SVMSMOTE,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 100, 'clf__max_depth': None, 'clf__learning_rate': 0.05}",tuning,0.7350160549489098,3073,1317
strict,CV17_THY26,isotonic,0.10435263580008176,0.8452238550922762,0.709124175834395,0.485,0.7167868958783977,HistGradientBoosting,SVMSMOTE,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 100, 'clf__max_depth': None, 'clf__learning_rate': 0.05}",tuning,0.7350160549489098,3073,1317
strict,CV17_THY26,sigmoid,0.10480465509750865,0.8458832357573778,0.7158797771066088,0.485,0.718819949479059,HistGradientBoosting,SVMSMOTE,"{'clf__min_samples_leaf': 40, 'clf__max_iter': 100, 'clf__max_depth': None, 'clf__learning_rate': 0.05}",tuning,0.7350160549489098,3073,1317
strict,CV17_BIN,base,0.11921071364464352,0.8463401586971381,0.7534501823067933,0.535,0.7571463738324039,XGBoost,SVMSMOTE,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.9}",tuning,0.7301622561293353,3073,1317
strict,CV17_BIN,isotonic,0.10552632232561313,0.8478186573152249,0.7152801798685575,0.535,0.6904476380521125,XGBoost,SVMSMOTE,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.9}",tuning,0.7301622561293353,3073,1317
strict,CV17_BIN,sigmoid,0.10539045507595886,0.8480675502986716,0.7266632003006126,0.535,0.7167547396713618,XGBoost,SVMSMOTE,"{'clf__subsample': 1.0, 'clf__n_estimators': 200, 'clf__max_depth': 3, 'clf__learning_rate': 0.05, 'clf__colsample_bytree': 0.9}",tuning,0.7301622561293353,3073,1317
strict,CV17_ORD,base,0.139315710148094,0.8453705905078903,0.729674560229631,0.64,0.7532002765446474,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.7336971142617454,3073,1317
strict,CV17_ORD,isotonic,0.1076146430070313,0.8454597462034533,0.7062890276538805,0.64,0.6391851096842884,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.7336971142617454,3073,1317
strict,CV17_ORD,sigmoid,0.10831223887447325,0.8452071383993581,0.6981875,0.64,0.6199134199134199,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 1}",tuning,0.7336971142617454,3073,1317
strict,CV17_CONT,base,0.13955727653189784,0.8427182085648904,0.7336182429126024,0.62,0.7483028441569382,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.7327301353653857,3073,1317
strict,CV17_CONT,isotonic,0.10985207784743967,0.8416892032452672,0.68355068503477,0.62,0.6422285975423987,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.7327301353653857,3073,1317
strict,CV17_CONT,sigmoid,0.10996464933638389,0.842365300603287,0.6920902777777778,0.62,0.6262613902629524,LogisticRegression,SVMSMOTE,"{'clf__penalty': 'l2', 'clf__C': 0.01}",tuning,0.7327301353653857,3073,1317
