covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Gender,0.03483710702006693,1.0354510273580637,0.07507638200084914,-0.11230989779116854,0.1819841118313024,0.8937672380858203,1.1995951343585947,0.0,0.46402218769243453,0.6426318492222998,0.6379356114692197
Age,0.6863675988649846,1.98648669564449,0.0463070477220387,0.5956074530994111,0.777127744630558,1.8141326107982887,2.1752155098717476,0.0,14.822097987869022,1.0543912065593958e-49,162.69806640579952
Angina,-0.011852449357368799,0.9882175142344076,0.07379974732616107,-0.15649729618480063,0.13279239747006305,0.8551338298236306,1.1420128889545251,0.0,-0.1606028446816546,0.8724062142535227,0.1969280483832408
Previous_CABG,0.27071989506905936,1.3109078272072672,0.10019299883654324,0.07434522584637107,0.46709456429174767,1.0771786112118042,1.595352259640603,0.0,2.701984152712276,0.0068927047530243,7.180714065439282
Previous_PCI,0.05591566716228449,1.0575084972835065,0.09712493458791051,-0.1344457066308287,0.24627704095539768,0.8742003408699611,1.279253930184835,0.0,0.5757086725414846,0.5648121124049468,0.824157067327883
Previous_MI,0.23162409393277802,1.2606457553611017,0.08013929332389881,0.07455396527144517,0.3886942225941109,1.0774034843249363,1.4750534443516468,0.0,2.8902687349216247,0.0038491262626376673,8.021253288105823
Acute_MI,0.41004958564622956,1.506892503498943,0.10100441799015204,0.21208456410610205,0.608014607186357,1.236252423239441,1.8367810444012467,0.0,4.059719305409091,4.913174328840894e-05,14.312985044854846
Angiography,-0.3991582478474097,0.6708845269204841,0.09353479765606909,-0.5824830825545466,-0.21583341314027282,0.5585098173536742,0.8058695379678644,0.0,-4.267483950894183,1.9768998843346068e-05,15.626400663577705
Vessels,0.21091722642258331,1.2348101411783325,0.04478054265514371,0.12314897561034199,0.29868547723482464,1.1310529076942224,1.348085553190645,0.0,4.710019439622766,2.476931653777486e-06,18.623014508619047
Ischemia,-0.09879211110477346,0.9059310214479357,0.08388408989810028,-0.26320190618097017,0.06561768397142329,0.7685866992387748,1.0678183950288893,0.0,-1.1777216779103519,0.23890758174647,2.065475456352764
PostIsch_DCM,0.00045897933525031507,1.0004590846823822,0.09717317916625672,-0.18999695209387074,0.1909149107643714,0.8269616544410164,1.2103564593936091,0.0,0.004723312946929858,0.9962313555366882,0.005447275559870433
Smoke,0.07008077688418152,1.0725948186224585,0.07149734976874693,-0.07005145365262563,0.21021300742098867,0.9323458460724534,1.2339408705279322,0.0,0.9801870574343354,0.32699379201851675,1.612664848488519
Diabetes,0.376127709611301,1.4566331479460666,0.06933478085376958,0.24023403626193532,0.5120213829606667,1.2715467035382975,1.6686607906662407,0.0,5.424805631167604,5.8017638191932776e-08,24.03893319224516
Hypertension,0.012926878168196354,1.0130107914468516,0.06692376425341763,-0.1182412894783513,0.144095045814744,0.8884816454758028,1.1549938806425508,0.0,0.19315826466734065,0.8468350231270152,0.23984715779647395
Dyslipidemia,-0.3518843133980416,0.7033614867701947,0.07017334407066407,-0.4894215404512805,-0.21434708634480268,0.6129808762888241,0.807068214047314,0.0,-5.014501133702514,5.317123921305671e-07,20.842850573835584
AFib,0.2374226171704044,1.2679768733559118,0.07424881018327664,0.09189762331623136,0.3829476110245774,1.0962525856314276,1.466601194321819,0.0,3.1976622464972513,0.0013854644845033698,9.49541455593412
fe,-0.5796871539202635,0.5600735559766643,0.03541932504381103,-0.6491077553628507,-0.5102665524776763,0.5225117771679443,0.6003355365586771,0.0,-16.36640882352315,3.322492524932636e-60,197.58341973956564
TSH,0.0465091885231338,1.0476077049919421,0.03188782907180338,-0.015989808002770133,0.10900818504903773,0.984137350329319,1.1151714780373256,0.0,1.4585247687575968,0.14469595307055863,2.7889035224764807
fT3,-0.0531454103522028,0.9482421182365295,0.047155840543585466,-0.14556915947834398,0.039278338773938395,0.864530097555808,1.0400599323722868,0.0,-1.1270164997500418,0.2597355049541285,1.9448848559188028
fT4,0.06874730613517538,1.0711654979967076,0.032392508709599546,0.005259155695460246,0.1322354565748905,1.0052730093302682,1.1413770323575594,0.0,2.1223211438020564,0.03381077910454416,4.886372929020756
SCH,0.43466228231214077,1.5444413856933428,0.12172186905491587,0.19609180283360514,0.6732327617906764,1.2166385910778381,1.9605651270104798,0.0,3.570946500304223,0.0003556935495952891,11.457077567790305
SCT,0.3945166769281532,1.4836669271429863,0.17385375341401177,0.05376958165958262,0.7352637721967237,1.0552414271617805,2.0860321572273075,0.0,2.2692445183432954,0.02325346039917167,5.426410766919718
Low_T3,0.4200233185000596,1.5219970458930476,0.07784024191333937,0.26745924780202923,0.5725873891980899,1.3066403802836235,1.7728481705152435,0.0,5.395966253132634,6.815575701158643e-08,23.806589234698272
Hypothyroid,0.12095844178415852,1.128578009704234,0.26922331727523907,-0.40670956387371027,0.6486264474420272,0.6658375454989478,1.9129115391555864,0.0,0.44928664800789625,0.6532248883525807,0.6143483351898257
Hyperthyroid,0.16808245364734348,1.183034152107204,0.2501132469457389,-0.32213050242267743,0.6582954097173643,0.7246036216312113,1.9314971154868528,0.0,0.6720253952954692,0.5015675293211366,0.9954841414915937
