feature,type,test,statistic,p_value,effect_size,effect_name
PostIsch_DCM,binary,chi2,331.8797435250249,3.7443822552862575e-74,5.977702014897639,OR
Previous_CABG,binary,chi2,69.3675040543217,8.172410796098129e-17,2.5696803225994973,OR
Acute_MI,binary,chi2,58.114996143618626,2.472344358760916e-14,2.5101713762428046,OR
Diabetes,binary,chi2,96.18101086018518,1.0484569957667372e-22,2.271336726346362,OR
AFib,binary,chi2,87.06612425733634,1.0495289171792483e-20,2.2461868022470313,OR
SCH,binary,chi2,21.148067194604877,4.251298026733717e-06,1.9118218169265289,OR
Previous_MI,binary,chi2,64.74328563232763,8.531985351726048e-16,1.90421649054505,OR
Low_T3,binary,chi2,36.317368140415965,1.6766304278851472e-09,1.696005763859417,OR
Hypothyroid,binary,chi2,3.2511008083983888,0.07137550699068423,1.6525412273587456,OR
Hyperthyroid,binary,chi2,3.4883249946266695,0.06180308829268464,1.620559334845049,OR
Previous_PCI,binary,chi2,4.674016495708898,0.030622231975849925,1.2754685027528214,OR
Hypertension,binary,chi2,5.239831626584562,0.022075410398800368,1.1996866769594043,OR
Gender,binary,chi2,0.7925024384032195,0.37334451413169956,1.0788232539992197,OR
SCT,binary,chi2,0.023334348992965638,0.8785908174629864,1.0538793103448276,OR
Smoke,binary,chi2,8.483054052891433,0.003584698072518456,0.7924724130764569,OR
Angina,binary,chi2,21.410066752006824,3.708191052906917e-06,0.699384073017478,OR
Angiography,binary,chi2,30.375314373656032,3.5603023182103715e-08,0.6511749347258485,OR
Ischemia,binary,chi2,43.46379546038486,4.3187621645909395e-11,0.5871473381775368,OR
Euthyroid,binary,chi2,76.09330196740831,2.7057349583971345e-18,0.5082412295314346,OR
Dyslipidemia,binary,chi2,80.53887115143672,2.8504224084015928e-19,0.49850402761795165,OR
Age,continuous,Mann-Whitney U,771688.0,5.142166214025442e-106,0.48384162380050844,rank-biserial |r|
fe,continuous,Mann-Whitney U,2189912.0,1.3223847023400142e-98,0.4647648038323533,rank-biserial |r|
fT4,continuous,Mann-Whitney U,1170343.5,9.478280563402875e-23,0.21719321726445184,rank-biserial |r|
fT3,continuous,Mann-Whitney U,1716447.5,2.185127248078318e-11,0.14807895733985355,rank-biserial |r|
TSH,continuous,Mann-Whitney U,1403086.5,0.0054267138878470265,0.06151858068619964,rank-biserial |r|
Vessels,continuous,Mann-Whitney U,1441763.5,0.07679478932025079,0.035648724583386415,rank-biserial |r|
