group,n,mean_predicted_cif,observed_cif_aalen_johansen,events_cardiac,events_noncardiac,feature_set,horizon,observed_to_predicted
1,1613,0.0183152691046987,0.01978260957855498,38,75,CV17,7.0,1.0801156928390336
2,1612,0.043070257351903805,0.03830928244074011,71,141,CV17,7.0,0.8894602632098448
3,1613,0.0766540441832714,0.0732251255699761,144,275,CV17,7.0,0.9552676098198141
4,1612,0.13537557242985448,0.15157920198446825,267,405,CV17,7.0,1.1196938950194264
5,1613,0.3187981525461773,0.3086999338017259,488,503,CV17,7.0,0.9683240989202762
overall,8063,0.11844990698234828,0.11724274070339849,1008,1399,CV17,7.0,0.9898086346397074
1,1613,0.026728820140401503,0.028240021275636205,39,73,CV17,10.0,1.0565382657108187
2,1612,0.06153930037741618,0.054205155734428884,72,146,CV17,10.0,0.8808217740857062
3,1613,0.10617585849266035,0.1140481413717448,147,282,CV17,10.0,1.0741438118876019
4,1612,0.17788013089908217,0.19805323889039433,263,413,CV17,10.0,1.1134084390951855
5,1613,0.3802467822767973,0.3559151412068898,487,485,CV17,10.0,0.9360109218433951
overall,8063,0.15052181938054296,0.14872569894227852,1008,1399,CV17,10.0,0.9880673749117823
1,1613,0.01811024936326868,0.017743497838291024,35,74,CV17_THY_CONT,7.0,0.9797489522302489
2,1612,0.04280124356479918,0.03855766474463176,71,137,CV17_THY_CONT,7.0,0.9008538428622328
3,1613,0.0761769974257289,0.07312286930643459,141,274,CV17_THY_CONT,7.0,0.9599074757144106
4,1612,0.13452809657603448,0.1503969018474722,268,405,CV17_THY_CONT,7.0,1.1179590410875155
5,1613,0.31774727187357765,0.3106646573204389,493,509,CV17_THY_CONT,7.0,0.9777099123105715
overall,8063,0.11788001673195556,0.11724274070339849,1008,1399,CV17_THY_CONT,7.0,0.994593858685937
1,1613,0.026370924019836744,0.02632758235886937,36,75,CV17_THY_CONT,10.0,0.9983564602842596
2,1612,0.06106699864033073,0.0555687290975328,72,138,CV17_THY_CONT,10.0,0.909963324459724
3,1613,0.10536926202473357,0.1088510604523247,139,274,CV17_THY_CONT,10.0,1.0330437772903245
4,1612,0.17671235434845117,0.19791365163083044,271,431,CV17_THY_CONT,10.0,1.1199763160903475
5,1613,0.3783042442631182,0.36007555431559013,490,481,CV17_THY_CONT,10.0,0.9518147358271517
overall,8063,0.14957236550963884,0.14872569894227852,1008,1399,CV17_THY_CONT,10.0,0.9943394184849891
