feature,cluster,block
Gender,5,cardiovascular
Age,6,cardiovascular
Angina,3,cardiovascular
Previous_CABG,3,cardiovascular
Previous_PCI,3,cardiovascular
Previous_MI,3,cardiovascular
Acute_MI,7,cardiovascular
Angiography,3,cardiovascular
Vessels,3,cardiovascular
Ischemia,3,cardiovascular
PostIsch_DCM,3,cardiovascular
Smoke,5,cardiovascular
Diabetes,1,cardiovascular
Hypertension,2,cardiovascular
Dyslipidemia,3,cardiovascular
AFib,3,cardiovascular
LVEF,3,cardiovascular
TSH,4,thyroid
fT3,6,thyroid
fT4,4,thyroid
