horizon,thyroid_set,comparison,comparison_role,threshold_note,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,q_bh
7,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,f1_macro,0.021248018542157743,0.00046678440833541895,0.043068576712130414,0.045,2000,True,
7,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,roc_auc,0.003403755868544689,-0.0029128327205254767,0.01020573389789664,0.319,2000,False,
7,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,auprc,0.006946680133382177,-0.011988874712701563,0.026166455764619616,0.494,2000,False,
7,CV17_THY_CONT,independently optimized,primary,each arm uses its own validation threshold,brier,-0.000863088971936099,-0.0030289104206945618,0.0013919258040677054,0.486,2000,False,
7,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,f1_macro,-0.014109421636049335,-0.03075102035628558,0.001222450137020082,0.076,2000,False,
7,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,roc_auc,0.0025653923541246737,-0.0026002148768638268,0.00808042288623411,0.374,2000,False,
7,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,auprc,0.004105943978983784,-0.009612449236199656,0.01730479209132602,0.575,2000,False,
7,CV17_THY_CONT,locked pipeline,primary,baseline validation threshold applied to both arms,brier,-0.0003285366105802573,-0.002169664725367219,0.0015333060847209734,0.76,2000,False,
7,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,f1_macro,0.00284014978299707,-0.013371636428877792,0.019708544379408978,0.716,2000,False,0.9209999999999999
7,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,roc_auc,0.0006036217303823088,-0.005327005455404254,0.006575051484074418,0.835,2000,False,0.854
7,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,auprc,-0.014376409109583821,-0.028349360857374432,-0.00030051083087116563,0.047,2000,True,0.28200000000000003
7,CV17_THY_STATES,independently optimized,secondary,each arm uses its own validation threshold,brier,0.0010181612738444645,-0.0008432518866917673,0.002819323923071267,0.269,2000,False,0.8184000000000001
7,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,f1_macro,9.504369212121055e-05,-0.013118199569145514,0.013368109357758656,1.0,2000,False,1.0
7,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,roc_auc,-0.002045606975184522,-0.005732559124025377,0.0015483730601867718,0.279,2000,False,0.964
7,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,auprc,-0.010583700961639186,-0.01819088354138257,-0.0029833823808029835,0.005,2000,True,0.03
7,CV17_THY_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,brier,0.0012811181852387804,0.00028243687631922395,0.002257106161859902,0.011,2000,True,0.066
7,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,f1_macro,0.005629304515462952,-0.01254787726682847,0.024903552839774145,0.56,2000,False,0.9209999999999999
7,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,roc_auc,-0.0004610999329310861,-0.007312532782341311,0.006220691118698639,0.854,2000,False,0.854
7,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,auprc,-0.0008791979711880726,-0.016482719475391712,0.015500173555480709,0.863,2000,False,0.863
7,CV17_THY_CONT_STATES,independently optimized,secondary,each arm uses its own validation threshold,brier,0.0005141299167081143,-0.0017496437890379625,0.00275395457654123,0.621,2000,False,0.8184000000000001
7,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,f1_macro,-0.012794325377612381,-0.029278538938796613,0.0020805141937420926,0.104,2000,False,0.624
7,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,roc_auc,0.002691146881287576,-0.002949815873731981,0.008920787179413877,0.384,2000,False,0.964
7,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,auprc,-0.0002649623895778497,-0.013937176144179306,0.012735248713758343,0.949,2000,False,0.9780000000000001
7,CV17_THY_CONT_STATES,locked pipeline,secondary,baseline validation threshold applied to both arms,brier,0.00015118441642086866,-0.0016240616920959357,0.002024074343226754,0.823,2000,False,0.823
