feature_set,cut,cut_origin,n_high_predicted_survival,n_low_predicted_survival,events_high_predicted_survival,events_low_predicted_survival,survival_at_horizon_high_predicted_survival,survival_ci_lo_high_predicted_survival,survival_ci_hi_high_predicted_survival,survival_at_horizon_low_predicted_survival,survival_ci_lo_low_predicted_survival,survival_ci_hi_low_predicted_survival,descriptive_logrank_p
CV17,0.6,"paper value on the uncalibrated scale, fixed a priori",487,391,24,144,0.9507186858316223,0.9273711778906844,0.9666952388466763,0.6317135549872124,0.5818205031675544,0.677366018815639,1.2520337630783804e-34
CV17,0.9019929050166366,median of the validation population,425,453,19,149,0.9552941176470584,0.9308046937449616,0.9712496551411525,0.6710816777041941,0.625729742271774,0.7122436259131429,3.1285224884258316e-27
CV17_THY_CONT,0.6,"paper value on the uncalibrated scale, fixed a priori",516,362,26,142,0.9496124031007749,0.926874338123827,0.9654118078612979,0.6077348066298343,0.5554082663077173,0.6558871256018294,2.5610205675214453e-39
CV17_THY_CONT,0.9071104902378796,median of the validation population,431,447,18,150,0.9582366589327154,0.9345287615839596,0.9734809856364359,0.6644295302013422,0.6185897518585356,0.7061133537124121,5.096153754685351e-29
CV17_THY_STATES,0.6,"paper value on the uncalibrated scale, fixed a priori",477,401,22,146,0.9538784067085949,0.9307959684478374,0.9693881100275195,0.6359102244389024,0.586747968923289,0.680873453634295,2.322672001929828e-34
CV17_THY_STATES,0.9047141263739633,median of the validation population,435,443,18,150,0.9586206896551723,0.9351233443428052,0.9737267467236786,0.6613995485327316,0.6152693515785129,0.7033778323664556,1.0333404496232369e-29
CV17_THY_CONT_STATES,0.6,"paper value on the uncalibrated scale, fixed a priori",504,374,25,143,0.9503968253968249,0.9274694116092707,0.9662084374722512,0.617647058823529,0.5663430103109618,0.6647480931067417,1.5607249823543676e-37
CV17_THY_CONT_STATES,0.9046193469377902,median of the validation population,441,437,20,148,0.9546485260770972,0.9305849140789532,0.9705019325314744,0.6613272311212817,0.6148656584444485,0.7035810890424475,5.263110923944167e-29
CV17_THY_CONT_RATIO,0.6,"paper value on the uncalibrated scale, fixed a priori",523,355,27,141,0.9483747609942639,0.925616289991857,0.9643040331128604,0.6028169014084505,0.5498931530112918,0.6515693810825242,5.137706653031575e-40
CV17_THY_CONT_RATIO,0.9061605660234282,median of the validation population,427,451,16,152,0.9625292740046832,0.9395626712630507,0.9768753639248123,0.6629711751662972,0.6173081688076484,0.7045345499335179,6.534729950618831e-30
