group,n_variables,f1_drop_mean,f1_drop_std,block
Age,1,0.11026044660044518,0.013747930330544516,cardiovascular
LVEF,1,0.07994128890174282,0.015896001732870178,cardiovascular
Dyslipidemia,1,0.033244255633022426,0.008267788731545447,cardiovascular
Diabetes,1,0.02199513001899872,0.006300512738075173,cardiovascular
PostIsch_DCM,1,0.02036422093577387,0.004963918872344422,cardiovascular
fT4,1,0.019308073104256064,0.005299416324149091,thyroid
AFib,1,0.01826366689835581,0.005000262458774921,cardiovascular
Vessels,1,0.015648580152511547,0.0062199605775878795,cardiovascular
Ischemia,1,0.013921645321535536,0.004962193869249757,cardiovascular
Acute_MI,1,0.008133258592411697,0.0033166822264456422,cardiovascular
Hypertension,1,0.007999955070865561,0.003260710142855379,cardiovascular
fT3,1,0.007367358850635908,0.00442948124346384,thyroid
Smoke,1,0.006885364868931654,0.0026139657274647982,cardiovascular
TSH,1,0.006310492917598687,0.0037764748458264446,thyroid
Angiography,1,0.006002447596659788,0.002938987448654241,cardiovascular
Angina,1,0.004814434815829971,0.003087955979690008,cardiovascular
Previous_MI,1,0.004288566561472718,0.0026068869946811006,cardiovascular
Previous_CABG,1,0.004037682126072706,0.0036267866061382922,cardiovascular
Gender,1,0.0020776770654511558,0.002029105916908634,cardiovascular
Previous_PCI,1,-0.0004959800835425022,0.0016532117078513068,cardiovascular
