horizon,rep,fold,n_train,n_valid,n_test,comparison,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,threshold_base,threshold_other
7,0,0,2634,878,878,locked pipeline,f1_macro,-0.007223977756193323,-0.023692628899854244,0.008462062911667777,0.38,500,False,0.38999999999999996,0.38999999999999996
7,0,0,2634,878,878,locked pipeline,roc_auc,0.002313883299798869,-0.003518434124183342,0.007736116456122945,0.492,500,False,0.38999999999999996,0.38999999999999996
7,0,0,2634,878,878,locked pipeline,auprc,0.008880379799627303,-0.00696848943614396,0.02499214973576994,0.308,500,False,0.38999999999999996,0.38999999999999996
7,0,0,2634,878,878,locked pipeline,brier,-0.0005392422358831556,-0.0024294891279568933,0.0014067975952248794,0.62,500,False,0.38999999999999996,0.38999999999999996
7,0,0,2634,878,878,independently optimized,f1_macro,0.0054738932531830375,-0.019160720215111966,0.02742560461314193,0.684,500,False,0.38999999999999996,0.27999999999999997
7,0,0,2634,878,878,independently optimized,roc_auc,0.0019282360831656131,-0.0041728387769684044,0.008032012133300657,0.592,500,False,0.38999999999999996,0.27999999999999997
7,0,0,2634,878,878,independently optimized,auprc,0.007476492639058696,-0.0075036804795682996,0.022286237870708485,0.384,500,False,0.38999999999999996,0.27999999999999997
7,0,0,2634,878,878,independently optimized,brier,-0.0006563263383524559,-0.0026374426382427736,0.001480879637456777,0.568,500,False,0.38999999999999996,0.27999999999999997
7,0,1,2634,878,878,locked pipeline,f1_macro,0.004095287930503844,-0.010650564767327899,0.019944853944342388,0.628,500,False,0.37999999999999995,0.37999999999999995
7,0,1,2634,878,878,locked pipeline,roc_auc,0.0026743796109992557,-0.0019113934578101925,0.008139595203235626,0.252,500,False,0.37999999999999995,0.37999999999999995
7,0,1,2634,878,878,locked pipeline,auprc,0.004067538878950838,-0.007028629759983075,0.01592339963511402,0.492,500,False,0.37999999999999995,0.37999999999999995
7,0,1,2634,878,878,locked pipeline,brier,-0.000538214726926195,-0.0024013252029109304,0.001087257311397866,0.544,500,False,0.37999999999999995,0.37999999999999995
7,0,1,2634,878,878,independently optimized,f1_macro,-0.013842899700608702,-0.03463106144062504,0.004918937108691808,0.168,500,False,0.37999999999999995,0.43999999999999995
7,0,1,2634,878,878,independently optimized,roc_auc,0.0014755197853789648,-0.004083370633623756,0.007667277758441895,0.6,500,False,0.37999999999999995,0.43999999999999995
7,0,1,2634,878,878,independently optimized,auprc,-0.00219541629202491,-0.015799810869970635,0.012289787280920983,0.796,500,False,0.37999999999999995,0.43999999999999995
7,0,1,2634,878,878,independently optimized,brier,-0.0005367547110135262,-0.002195545206472768,0.0012997610693817202,0.572,500,False,0.37999999999999995,0.43999999999999995
7,0,2,2634,878,878,locked pipeline,f1_macro,-0.0010684840696998377,-0.016962944234667342,0.013402216289781128,0.896,500,False,0.26999999999999996,0.26999999999999996
7,0,2,2634,878,878,locked pipeline,roc_auc,0.0019111841830730114,-0.0016977253493849873,0.005955256682106916,0.348,500,False,0.26999999999999996,0.26999999999999996
7,0,2,2634,878,878,locked pipeline,auprc,0.010731075410014279,-0.0008272021411767636,0.02229802213240642,0.08,500,False,0.26999999999999996,0.26999999999999996
7,0,2,2634,878,878,locked pipeline,brier,-0.0011539435311918728,-0.002653435213811088,0.00025898835887146275,0.088,500,False,0.26999999999999996,0.26999999999999996
7,0,2,2634,878,878,independently optimized,f1_macro,0.012289197125424756,-0.0061750770303935386,0.03006155216525974,0.24,500,False,0.26999999999999996,0.32999999999999996
7,0,2,2634,878,878,independently optimized,roc_auc,0.0025037347376501984,-0.002165546881184538,0.007710750938295272,0.28,500,False,0.26999999999999996,0.32999999999999996
7,0,2,2634,878,878,independently optimized,auprc,0.012814590020388428,-0.0004365455679554012,0.026145220252727103,0.056,500,False,0.26999999999999996,0.32999999999999996
7,0,2,2634,878,878,independently optimized,brier,-0.0014650991455782414,-0.003010530891090189,5.899630497761999e-05,0.056,500,False,0.26999999999999996,0.32999999999999996
7,0,3,2634,878,878,locked pipeline,f1_macro,0.005237363788337723,-0.008321057965454057,0.02005646000054411,0.496,500,False,0.37999999999999995,0.37999999999999995
7,0,3,2634,878,878,locked pipeline,roc_auc,0.0019028384006143373,-0.0027978225837042513,0.006662653261560542,0.452,500,False,0.37999999999999995,0.37999999999999995
7,0,3,2634,878,878,locked pipeline,auprc,0.0007981872897513398,-0.011364347650324584,0.012301707242438507,0.948,500,False,0.37999999999999995,0.37999999999999995
7,0,3,2634,878,878,locked pipeline,brier,-0.00021562779504845364,-0.0016581686240396602,0.001167372891060803,0.812,500,False,0.37999999999999995,0.37999999999999995
7,0,3,2634,878,878,independently optimized,f1_macro,0.002768822495165524,-0.01294970255501754,0.019952178525210328,0.784,500,False,0.37999999999999995,0.36999999999999994
7,0,3,2634,878,878,independently optimized,roc_auc,0.002528772085026998,-0.003451458649521807,0.008477081928964729,0.392,500,False,0.37999999999999995,0.36999999999999994
7,0,3,2634,878,878,independently optimized,auprc,0.0025722058282174887,-0.012821152873429633,0.015418728931170377,0.772,500,False,0.37999999999999995,0.36999999999999994
7,0,3,2634,878,878,independently optimized,brier,-0.00022776545748648402,-0.0019060944853637966,0.0015201800018998523,0.792,500,False,0.37999999999999995,0.36999999999999994
7,0,4,2634,878,878,locked pipeline,f1_macro,0.003688804394634815,-0.01397868533142785,0.01960265147233899,0.656,500,False,0.35999999999999993,0.35999999999999993
7,0,4,2634,878,878,locked pipeline,roc_auc,0.004222965924170152,-0.0007102431909426468,0.008690945665353412,0.088,500,False,0.35999999999999993,0.35999999999999993
7,0,4,2634,878,878,locked pipeline,auprc,0.0023458032756881186,-0.011634783483345942,0.0154667192671337,0.728,500,False,0.35999999999999993,0.35999999999999993
7,0,4,2634,878,878,locked pipeline,brier,-0.0008519515982578219,-0.0026505402030960515,0.000846450648092166,0.32,500,False,0.35999999999999993,0.35999999999999993
7,0,4,2634,878,878,independently optimized,f1_macro,0.013255005542877618,-0.0023417400016945973,0.030004001394660973,0.112,500,False,0.35999999999999993,0.3499999999999999
7,0,4,2634,878,878,independently optimized,roc_auc,0.0038724430608991778,-0.00123277964235714,0.008645097020959721,0.132,500,False,0.35999999999999993,0.3499999999999999
7,0,4,2634,878,878,independently optimized,auprc,0.002908533298281224,-0.010337082413924736,0.015652759870621438,0.704,500,False,0.35999999999999993,0.3499999999999999
7,0,4,2634,878,878,independently optimized,brier,-0.0010803537251460743,-0.002842375148742392,0.0006748820990656019,0.272,500,False,0.35999999999999993,0.3499999999999999
7,1,0,2634,878,878,locked pipeline,f1_macro,-0.014200082433114214,-0.029216641021438335,0.0012186931115129667,0.072,500,False,0.30999999999999994,0.30999999999999994
7,1,0,2634,878,878,locked pipeline,roc_auc,0.0027330650570087656,-0.001326124457103034,0.008079485156436118,0.212,500,False,0.30999999999999994,0.30999999999999994
7,1,0,2634,878,878,locked pipeline,auprc,0.00695355108083795,-0.003942810912659192,0.018671063751937694,0.2,500,False,0.30999999999999994,0.30999999999999994
7,1,0,2634,878,878,locked pipeline,brier,-0.0013733833695814546,-0.0028010325981764105,0.0001221392791754545,0.06,500,False,0.30999999999999994,0.30999999999999994
7,1,0,2634,878,878,independently optimized,f1_macro,-0.0010467508799089087,-0.017172313255204873,0.01600556249582453,0.932,500,False,0.30999999999999994,0.33999999999999997
7,1,0,2634,878,878,independently optimized,roc_auc,0.0029594232059022563,-0.0024563879210578454,0.009599764313269216,0.332,500,False,0.30999999999999994,0.33999999999999997
7,1,0,2634,878,878,independently optimized,auprc,0.004373262592468952,-0.011693390878964835,0.02134600265901354,0.52,500,False,0.30999999999999994,0.33999999999999997
7,1,0,2634,878,878,independently optimized,brier,-0.0013542188479102046,-0.003345422128215818,0.0006773036669405355,0.188,500,False,0.30999999999999994,0.33999999999999997
7,1,1,2634,878,878,locked pipeline,f1_macro,0.0017857772920876203,-0.02096647607942533,0.021401948265711204,0.916,500,False,0.4599999999999999,0.4599999999999999
7,1,1,2634,878,878,locked pipeline,roc_auc,0.0019114688128775148,-0.003695028615380308,0.007110744249907174,0.508,500,False,0.4599999999999999,0.4599999999999999
