model,seed,c_harrell_base,c_harrell_thy,delta_c_index,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,elapsed_s
Cox,42,0.7889276616573503,0.790314550544781,0.0012439526071887919,-0.0013041992474649377,0.003491337731152594,0.324,1000,False,263.4
Cox,1,0.7890193548426937,0.7903213585918334,0.001332600151346064,-0.0008907069508129388,0.0035824473871181456,0.244,1000,False,278.8
Cox,2,0.7885003969403498,0.7906447352829548,0.0019208666129574281,-0.0005329618882583875,0.003916991300684066,0.126,1000,False,257.1
Cox,3,0.7880998306266622,0.7903828524291551,0.0021390890157201303,-0.0002742210724653665,0.004224712686487267,0.102,1000,False,281.8
Cox,4,0.7893825028262482,0.7914083372408529,0.001881977173087579,-0.00045363425894764107,0.003912752595310384,0.152,1000,False,293.1
Cox,5,0.7900325831249477,0.7916202349251344,0.0016302996626638144,-0.0010338498791268968,0.0038345262920307095,0.214,1000,False,319.5
Cox,6,0.7890934399655437,0.7912370343933521,0.0022280762056404724,-6.597169000792658e-05,0.004182493860153766,0.056,1000,False,321.3
Cox,7,0.7898874476247608,0.7924031272965553,0.0024398453389052888,0.00015567539895171566,0.00439867864436611,0.038,1000,True,304.3
Cox,8,0.7899937915886511,0.7921278858570802,0.0021873187140739603,-0.0003259291291174443,0.00431841496804197,0.086,1000,False,305.7
Cox,9,0.7885397927709671,0.7908476178311789,0.0024522424092568995,6.306395333062767e-05,0.004444220545523364,0.044,1000,True,295.4
