seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
42,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.782320980189622,,0.7834788580301474,0.8224456095001895,0.8187735695481254,0.08763570575965397
42,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7779832781169005,,0.7636537604101781,0.8246132649226756,0.8250695886686602,0.08397201452646307
42,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8108764559540999,,0.7970581017680112,0.8480573389547361,0.8455227894115598,0.08568857416818129
42,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7874946403745458,,0.7779648957967672,0.8265744212844597,0.8251207856001888,0.0839365664717753
42,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7859629536515836,,0.7858508662572856,0.8307790787299703,0.8413374119465329,0.09031288261993416
42,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7851132441488423,,0.7851984676277233,0.8230948495946155,0.8190482029554329,0.0894652039412326
42,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7782590067829251,,0.7635638470337284,0.8240568797971272,0.824153856285607,0.08386155046703232
42,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8098535521701977,,0.7963059483721127,0.844696708869365,0.8431746342071316,0.08446603728024887
42,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7907775463093294,,0.780496754991618,0.8281603869566049,0.8263738041678681,0.08355449510027345
42,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7875694033126099,,0.7875407027401458,0.8323286016348247,0.8429769341969683,0.08991482979872684
1,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7996093240245334,,0.7926550111411798,0.8426329899032765,0.847509404801102,0.08721848068247476
1,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7896445568903593,,0.7704875370278933,0.8157831167261698,0.8130152202788645,0.08255927664335058
1,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7867876060878252,,0.779605467226925,0.8315782325499625,0.8310494419737869,0.09415724938950455
1,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7842582398678869,,0.7879839454892484,0.8367513502733864,0.8357462178806956,0.08560230195014087
1,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7847970473428637,,0.7788145717735127,0.8249706903654568,0.8316634175222078,0.08323255687511301
1,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7975743834007569,,0.7916766344624375,0.8360821272128994,0.8418220901328262,0.08765066160543575
1,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7902062950053962,,0.7719054848041964,0.8160344509938867,0.8135461207368384,0.08282961371188005
1,CV17_THY_CONT,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7903091762296114,,0.782320694654688,0.8338222761258202,0.8316147676269035,0.09368124893547623
1,CV17_THY_CONT,3,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.78549680038533,,0.7887408606395159,0.8374251929820357,0.8378752610842601,0.08422931146548669
1,CV17_THY_CONT,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7880201379380725,,0.780778131380177,0.827199319637924,0.832850659256005,0.08431655489111953
2,CV17,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7873975727373027,,0.7792335047493132,0.8265958033999999,0.8257580065044499,0.08462256178641801
2,CV17,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.753464452887219,,0.7580766220317419,0.8023283179225564,0.8137558563035387,0.09677736789595204
2,CV17,2,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7838045402478392,,0.7793159725025159,0.8219307858704568,0.82646859726829,0.08363806008786777
2,CV17,3,Cox,6451,1612,201,"7.000,10.000",0.143-13.886,,0.8147728452302688,,0.8123709427346757,0.8632490808930015,0.8618763442168134,0.08006230517083572
2,CV17,4,Cox,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8030625735991191,,0.7812797546977567,0.8356126242098864,0.8292945060561792,0.0819564564527748
2,CV17_THY_CONT,0,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7891248383271143,,0.778675900681241,0.8258753954209788,0.8237566151164524,0.08413133451197442
2,CV17_THY_CONT,1,Cox,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7557565962091476,,0.7601972083859256,0.8024900525148184,0.8124449022954483,0.0980668978710039
