seed,horizon,c_harrell_base,c_harrell_thy,delta_c_index,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,elapsed_s
42,7.0,0.7876647894174058,0.789216308343294,0.0013775913497660053,-0.0010516457869194085,0.00346493982987297,0.24,1000,False,442.6
42,10.0,0.7845646912990476,0.7853117209032923,0.0006699905499671921,-0.0015720525676408276,0.0025268498740126898,0.498,1000,False,958.0
1,7.0,0.7878421748871093,0.789328143361234,0.0014593719683209105,-0.0011124759081805435,0.0036000605655271464,0.24,1000,False,438.4
1,10.0,0.7850514864010633,0.7859397972341385,0.0009561269994041721,-0.0014669884508275554,0.0029697327564272118,0.374,1000,False,946.4
2,7.0,0.7873630001102974,0.7888343890799934,0.0017087892700931029,-0.0014760213172347713,0.004327277664083512,0.272,1000,False,446.6
2,10.0,0.784062073427112,0.7851173777017411,0.0011948592643350464,-0.001662125430059455,0.003616900092856356,0.382,1000,False,962.3
3,7.0,0.7899303679104758,0.7912738394518585,0.0013171841819076269,-0.0010205796907494986,0.003469435112008576,0.292,1000,False,445.1
3,10.0,0.7869584139224804,0.7875858364770052,0.0007124318415104858,-0.001566052110807295,0.0027267159084309518,0.512,1000,False,961.0
4,7.0,0.7886482407008895,0.7907277500752501,0.002372090765437651,0.00013984891509103705,0.0044329749068035915,0.042,1000,True,437.5
4,10.0,0.7854642938758153,0.7869415896824836,0.0016505897457047558,-0.0005378529334823717,0.0035657583371012987,0.142,1000,False,946.1
5,7.0,0.7906540639190525,0.7920323606038637,0.0013151011761194376,-0.00102753529522491,0.0033939976571396276,0.236,1000,False,485.1
5,10.0,0.7879261605328944,0.7884086070821273,0.0006568987806001569,-0.0016050715175634166,0.0026096810244232546,0.482,1000,False,1047.2
6,7.0,0.7890163987384267,0.7889536365187553,0.00010795403911123547,-0.003378773030886242,0.003208776353150702,0.896,1000,False,477.8
6,10.0,0.7858433069610035,0.785365304916927,-0.0003456055978694472,-0.0036537274071881897,0.0026448499080405836,0.908,1000,False,1044.7
7,7.0,0.7885951622056726,0.789569598942764,0.0008538512422322508,-0.0016764872992795054,0.0032204006714951212,0.492,1000,False,476.5
7,10.0,0.7854716729134843,0.7860626179157365,0.0003741850159652005,-0.00207091927607978,0.002642280443300354,0.708,1000,False,1046.9
8,7.0,0.788424034638332,0.7902061626330695,0.0017548870938410843,-0.0008800163057312265,0.004016217543848469,0.186,1000,False,486.5
8,10.0,0.785907455824605,0.7871170044852001,0.0012040149461799432,-0.0012654374380403038,0.0032612476433540455,0.296,1000,False,1040.0
9,7.0,0.7894446827348222,0.7907421710397518,0.0012077810952915158,-0.0018433876145233672,0.0038419677424483207,0.406,1000,False,479.7
9,10.0,0.7859147541872245,0.7865927549101792,0.0005234996404470671,-0.002412121294719935,0.0031016010939508365,0.638,1000,False,1041.4
