draw,horizon,n_oob,c_base,c_thy,delta
0,,2996,0.7986757168718365,0.8030688067394937,0.004393089867657185
1,,2984,0.7708800527770735,0.7698498659649416,-0.0010301868121318503
2,,2950,0.7966205322144044,0.7979061993067506,0.001285667092346121
3,,2968,0.7903067092490946,0.7919501090985964,0.001643399849501792
4,,2982,0.8031437041869987,0.7990509619251702,-0.00409274226182843
5,,3024,0.7650254306584922,0.7654671634920222,0.00044173283352999526
6,,2975,0.7921725426863416,0.7940922884567797,0.001919745770438075
7,,2987,0.7793155837177849,0.7810670767482507,0.001751493030465845
8,,2960,0.7777480934894786,0.7774288389688212,-0.0003192545206573971
9,,2933,0.782218269951701,0.7872520497932435,0.005033779841542518
10,,2990,0.7951660197630468,0.7988088455215017,0.0036428257584548707
11,,2928,0.8036200693281563,0.8044051352852987,0.0007850659571423391
12,,3002,0.7947533318301033,0.797138720434829,0.0023853886047257022
13,,2986,0.788381278044483,0.7905924836430515,0.0022112055985684664
14,,2974,0.7937029388403495,0.795459253375695,0.0017563145353455267
15,,2953,0.7866086588764056,0.7899457334369365,0.003337074560530895
16,,2960,0.7923962253859161,0.7957138614641478,0.003317636078231656
17,,2998,0.7796052590758769,0.7800743319124646,0.0004690728365877028
18,,2973,0.7907489042943503,0.7941080484328669,0.0033591441385165677
19,,2944,0.806614480578714,0.808229229450324,0.001614748871610061
20,,2983,0.7810280089951426,0.7855715259325058,0.004543516937363212
21,,2977,0.796201566055327,0.7977845728554757,0.0015830068001486675
22,,2937,0.781017277151701,0.7827478806726006,0.0017306035208995985
23,,2921,0.8118500941220139,0.8148977914468277,0.003047697324813803
24,,2966,0.7911362431706438,0.7914327113490842,0.0002964681784404233
25,,3018,0.8007341321562607,0.8043661281451002,0.0036319959888395648
26,,2957,0.7784886973782195,0.7793103268389828,0.0008216294607633623
27,,2981,0.7730014360938248,0.7725303973192915,-0.00047103877453325005
28,,2953,0.7952753015688264,0.7958192592476082,0.0005439576787817924
29,,2985,0.7828531901252898,0.7857407979401299,0.0028876078148400985
30,,3008,0.8006935752766633,0.8028170930192291,0.002123517742565806
31,,2913,0.7914289962263795,0.7919906733281257,0.0005616771017461497
32,,3007,0.8012037928519329,0.8024344274252371,0.0012306345733041901
33,,2943,0.776917823509908,0.78084904302017,0.003931219510261985
34,,2965,0.7829053534091786,0.7850280229077025,0.0021226694985239103
35,,2971,0.8007145038089263,0.8041749387724603,0.003460434963533987
36,,2971,0.7781444502716235,0.7809299518103286,0.0027855015387051596
37,,2990,0.8012159289432957,0.8029679233010265,0.0017519943577307684
38,,2939,0.7921367521367522,0.7946119153499227,0.0024751632131705392
39,,2980,0.7980426032085399,0.8037498828399099,0.005707279631369966
40,,3008,0.7772269951597849,0.777043587060433,-0.0001834080993519116
41,,2993,0.7920071258907363,0.7919501187648456,-5.7007125890740085e-05
42,,2933,0.7823704027093902,0.7848330093864005,0.0024626066770103705
43,,3007,0.7758260974510607,0.7758068388556286,-1.925859543205899e-05
44,,2948,0.7765247390650153,0.779155995183124,0.0026312561181086602
45,,2967,0.7914693853895522,0.7932949983999114,0.0018256130103591062
46,,2940,0.7822231045452956,0.7855630303302719,0.0033399257849762165
47,,2919,0.7960509672692192,0.7995310130406686,0.003480045771449447
48,,2964,0.7738214625905357,0.7750699424285449,0.001248479838009131
49,,2979,0.7814034531918264,0.7847261207033106,0.0033226675114842452
50,,2981,0.7913600921428517,0.7925219811723461,0.001161889029494323
51,,2952,0.777870715450979,0.7813812438917938,0.0035105284408147863
52,,2969,0.7988306223456493,0.7987148552586224,-0.00011576708702687455
53,,2990,0.7998579013591987,0.8051237541561206,0.005265852796921933
54,,2959,0.7910445837543563,0.7942112779164003,0.0031666941620440703
55,,2983,0.7776871084839683,0.7794543096886233,0.0017672012046550112
56,,2946,0.7971771889663071,0.7982348991862133,0.0010577102199061938
57,,3016,0.7982868756901554,0.7995302326554781,0.0012433569653226284
58,,2965,0.7675637964912729,0.7699409238410384,0.0023771273497654732
59,,2969,0.7832757852528403,0.7840580003645274,0.00078221511168719
60,,2968,0.7869456530200936,0.787928028341837,0.0009823753217433895
61,,2968,0.7868039525701611,0.7920236421973602,0.005219689627199098
62,,2983,0.807968973218777,0.8093372100042254,0.0013682367854483957
63,,2970,0.7955932274532643,0.7992646634451422,0.003671435991877914
64,,2957,0.7824541979015377,0.7808924000755498,-0.001561797825987865
65,,3011,0.7869653166798244,0.7880826689333196,0.0011173522534951852
66,,3011,0.793753259635739,0.7955070714921206,0.0017538118563816818
67,,2994,0.7873567142702841,0.7896175032993118,0.00226078902902771
68,,2962,0.7979367832812748,0.7994916752210883,0.0015548919398135075
69,,2976,0.7892344342626512,0.7917474915263767,0.0025130572637255266
70,,2947,0.7864344892043025,0.7874588791906263,0.0010243899863238148
71,,2962,0.7908193083901399,0.7890763191377117,-0.0017429892524282176
72,,2969,0.7985453963127799,0.8008193822605075,0.0022739859477276525
73,,2936,0.7902553384558376,0.7922193863512124,0.001964047895374743
74,,2936,0.793314984781727,0.7971264435703289,0.003811458788601896
75,,3016,0.7866365129574843,0.791053560201003,0.004417047243518768
76,,2924,0.7888701316859216,0.7908702766802512,0.0020001449943296556
77,,2934,0.7793933167656589,0.7814057345985332,0.0020124178328743136
78,,3004,0.7923298855049317,0.7927155377848278,0.0003856522798961759
79,,3028,0.7768220861751903,0.7804103913033358,0.0035883051281454525
80,,3043,0.7814889584364382,0.7820574443767958,0.0005684859403576326
81,,2969,0.7877097361979511,0.7904863887875105,0.002776652589559392
82,,2951,0.796422938046991,0.7976618152687697,0.0012388772217786226
83,,2976,0.7880293296419045,0.7898634735992958,0.0018341439573912321
84,,2983,0.7806372622859353,0.7825364441675474,0.0018991818816120887
85,,3016,0.7938163583675323,0.7967764694968177,0.002960111129285403
86,,2969,0.8047521534457024,0.8061829473091865,0.0014307938634841033
87,,2973,0.7721303320325108,0.7719961570252641,-0.00013417500724666187
88,,2974,0.7882488168549211,0.7892646841628727,0.0010158673079515568
89,,2940,0.8048666490625825,0.8068365460786903,0.0019698970161077245
90,,2992,0.7977706709025746,0.7983346010349923,0.0005639301324177337
91,,2974,0.786718272806991,0.788213238184512,0.0014949653775210292
92,,2981,0.7803730690071207,0.7834851316505406,0.0031120626434198995
93,,3010,0.7905084893888709,0.7931618785898438,0.002653389200972911
94,,2965,0.7883356285811723,0.7892454839154759,0.0009098553343035443
95,,2971,0.7885934087185268,0.7917723556128944,0.003178946894367596
96,,2951,0.776875838127107,0.7809038613377448,0.004028023210637777
97,,2963,0.7746802375789211,0.7771594158398741,0.0024791782609530078
98,,2975,0.7934190379170911,0.7958126831951102,0.0023936452780191075
99,,2942,0.7975077590771533,0.7933264600869336,-0.004181298990219684
100,,2967,0.7999355994534656,0.8018812916412318,0.0019456921877661904
101,,2927,0.789430978957459,0.792866862216414,0.0034358832589550525
102,,2953,0.7931427364163856,0.793722474993272,0.0005797385768864238
103,,2989,0.7722752578007633,0.7745003595170006,0.0022251017162372433
104,,2957,0.7675006204168228,0.7694579746675295,0.0019573542507067554
105,,2970,0.7907421853104389,0.7939652192597298,0.00322303394929091
106,,2940,0.790170264055108,0.7927989428504324,0.0026286787953243573
107,,2966,0.7945885160816151,0.7969830009751943,0.002394484893579185
