draw,horizon,n_oob,c_base,c_thy,delta
0,7.0,2996,0.7996521210036904,0.803839896297668,0.004187775293977625
0,10.0,2996,0.79723666045271,0.8009107497338197,0.0036740892811096826
1,7.0,2984,0.7731971025180497,0.7727781544345721,-0.0004189480834776438
1,10.0,2984,0.7703094381235517,0.7694575457053943,-0.0008518924181574183
2,7.0,2950,0.798185947002949,0.7985079138127704,0.000321966809821439
2,10.0,2950,0.795107117281986,0.7943164186823679,-0.0007906985996181115
3,7.0,2968,0.7926312178203757,0.793861447704509,0.0012302298841332382
3,10.0,2968,0.7882892841079746,0.7884265011930264,0.00013721708505176622
4,7.0,2982,0.8052946584463102,0.8013019391315637,-0.00399271931474654
4,10.0,2982,0.8032884225887207,0.7989105684920306,-0.004377854096690115
5,7.0,3024,0.7635349523392323,0.7629597476555748,-0.0005752046836574598
5,10.0,3024,0.7602796001288618,0.7587449959917988,-0.001534604137062967
6,7.0,2975,0.7964495235748891,0.797092036064688,0.0006425124897989631
6,10.0,2975,0.7924354778355759,0.7919848635771921,-0.00045061425838377467
7,7.0,2987,0.7772286313754643,0.7794033567619171,0.0021747253864528027
7,10.0,2987,0.7757146810329999,0.7773475966224824,0.001632915589482531
8,7.0,2960,0.7781472568330134,0.7768300321494556,-0.0013172246835578827
8,10.0,2960,0.7729628917464155,0.7708773425450692,-0.002085549201346293
9,7.0,2933,0.7779868940117621,0.781788000745985,0.0038011067342228477
9,10.0,2933,0.7743484066891264,0.7768524230120049,0.002504016322878444
10,7.0,2990,0.7937188863794715,0.7962311075222238,0.002512221142752291
10,10.0,2990,0.791999390289573,0.7935486329477528,0.0015492426581797947
11,7.0,2928,0.8029444324199132,0.8035096619789376,0.0005652295590243828
11,10.0,2928,0.8000806047959853,0.8005031299362312,0.0004225251402458774
12,7.0,3002,0.7970876955135447,0.7988664607968667,0.0017787652833219925
12,10.0,3002,0.7939835523124845,0.7959332272269467,0.001949674914462185
13,7.0,2986,0.785424103405552,0.7867488196095502,0.0013247162039982108
13,10.0,2986,0.7844074459969157,0.7847317095855082,0.0003242635885924994
14,7.0,2974,0.7962860441727657,0.7967773941127344,0.0004913499399686883
14,10.0,2974,0.7912729019225607,0.7907643627014733,-0.0005085392210874007
15,7.0,2953,0.7874827343914892,0.7905671668906409,0.0030844324991516903
15,10.0,2953,0.7851612007372062,0.7880696306395011,0.0029084299022948956
16,7.0,2960,0.7912922721899719,0.7941158728712296,0.002823600681257754
16,10.0,2960,0.7898936267688658,0.7922698290722548,0.0023762023033890856
17,7.0,2998,0.7837910473965332,0.7851267126293968,0.0013356652328636587
17,10.0,2998,0.778967004488291,0.7791710746233154,0.0002040701350243257
18,7.0,2973,0.7899723626485863,0.7936701942731296,0.0036978316245432907
18,10.0,2973,0.7858480330168958,0.7887432956874373,0.0028952626705415208
19,7.0,2944,0.8097186762111368,0.8103383027828562,0.0006196265717194338
19,10.0,2944,0.8057465079848843,0.8058593862682314,0.00011287828334705097
20,7.0,2983,0.7808707881565425,0.784241484681182,0.003370696524639505
20,10.0,2983,0.7784576117244768,0.7812840113519118,0.002826399627435028
21,7.0,2977,0.7964901614586803,0.7972549803451262,0.0007648188864458616
21,10.0,2977,0.795746478059136,0.7960597876063413,0.00031330954720532045
22,7.0,2937,0.7816659409083769,0.7838725866408544,0.002206645732477419
22,10.0,2937,0.7819189818271889,0.7839381830588652,0.0020192012316763153
23,7.0,2921,0.8122799391742382,0.8148035612048677,0.002523622030629502
23,10.0,2921,0.8087221130536006,0.8107825966231298,0.002060483569529148
24,7.0,2966,0.7917890715805358,0.7912371449351214,-0.000551926645414369
24,10.0,2966,0.7872971447508778,0.7867003593657763,-0.0005967853851014393
25,7.0,3018,0.801604469555445,0.8049571725716708,0.003352703016225811
25,10.0,3018,0.7977572220571723,0.8006198607201663,0.002862638662994077
26,7.0,2957,0.7778583272921198,0.7771847666980533,-0.0006735605940665357
26,10.0,2957,0.7768612382463641,0.7752357284303568,-0.0016255098160072867
27,7.0,2981,0.7714466886434678,0.7710009199906239,-0.0004457686528438476
27,10.0,2981,0.7699984027040674,0.7688055833221694,-0.0011928193818979693
28,7.0,2953,0.7951353891801904,0.7958035582835982,0.0006681691034077231
28,10.0,2953,0.7928066012697199,0.7927521922840096,-5.440898571029695e-05
29,7.0,2985,0.7830369947893883,0.7854609536360767,0.0024239588466884454
29,10.0,2985,0.7820398465445677,0.7838015190987572,0.001761672554189464
30,7.0,3008,0.8030463835949906,0.805011835702713,0.0019654521077223652
30,10.0,3008,0.799499845731638,0.8011562007762134,0.0016563550445753972
31,7.0,2913,0.7908231035429965,0.79156689825064,0.0007437947076435192
31,10.0,2913,0.7893754575299493,0.7895534270402128,0.00017796951026349817
32,7.0,3007,0.8025847045750042,0.8021459238137382,-0.00043878076126602217
32,10.0,3007,0.7966984616977323,0.7952161575853972,-0.0014823041123350755
33,7.0,2943,0.7750307473616439,0.779554448540962,0.004523701179318107
33,10.0,2943,0.7728137933055474,0.776486165002311,0.003672371696763599
34,7.0,2965,0.7873388539114433,0.7888701940472868,0.0015313401358434398
34,10.0,2965,0.7834102288918311,0.7843777237685339,0.0009674948767027791
