seed,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
42,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7774964519352698,,0.775098119379756,0.8186710690325444,0.8127402504427187,0.08915575818825285
42,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7798158132510955,,0.7670959105423376,0.831116922460788,0.8285468981444781,0.08758820893834186
42,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8052483804023421,,0.7929383286878031,0.8432647666268596,0.8391955299876578,0.0872375921623493
42,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7830943337390046,,0.7738627825904251,0.8251500880272403,0.8201675391529619,0.08612283211619425
42,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.781867998414856,,0.7789249612843302,0.8296200428388935,0.8387990612414743,0.09005228869631504
42,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7887746789946171,,0.7780130217335799,0.8159742603033603,0.8021191539217278,0.08903612678442692
42,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7899838380581915,,0.7729079925248924,0.8336301840585105,0.8270933171099275,0.08666409058876232
42,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.8088474863086643,,0.7910522249662091,0.8399296944395316,0.8346033378798657,0.08851188545210455
42,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.147-14.306,,0.7913665637329845,,0.7833910210995843,0.8240883574394786,0.8210697506668302,0.0862304908145717
42,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7887838281226697,,0.7805738077640635,0.8188350002911641,0.8229368689040688,0.09052689331025528
1,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7890512853973639,,0.7792007087103663,0.8331733285899703,0.8384725346204431,0.08793294730404848
1,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7869818297623892,,0.7725995651994316,0.8215261239291072,0.8150756007760869,0.08382008334459143
1,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7791988113126768,,0.773346795710338,0.8247405846466015,0.8249664427842809,0.09395341196637219
1,CV17,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7843356499002271,,0.7807841861297616,0.837188995602464,0.828030336219072,0.08990427032277348
1,CV17,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7880881715126414,,0.7853740332474326,0.8317361334418305,0.8408139522368165,0.08456481415194837
1,CV17_THY_CONT,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7984674735743181,,0.7898296526735138,0.8307865500247137,0.838505055147164,0.08824516008502228
1,CV17_THY_CONT,1,RSF,6450,1613,202,"7.000,10.000",0.147-14.306,,0.7921126660887103,,0.7772419255555442,0.8200925827418822,0.8149087259505876,0.08499111523137556
1,CV17_THY_CONT,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7864895947885798,,0.7739135447296365,0.8219126780991708,0.8126934322224071,0.09424570462871942
1,CV17_THY_CONT,3,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.7949451248881855,,0.7746678194327908,0.8303550219720414,0.8079372717837404,0.08956935512919223
1,CV17_THY_CONT,4,RSF,6451,1612,201,"7.000,10.000",0.152-14.769,,0.8046288343297417,,0.7944857413327143,0.838293361675415,0.8393279242829337,0.08390031186059349
2,CV17,0,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7707571456316297,,0.7606346217239539,0.8121205870795786,0.8105944318702429,0.08810564251884849
2,CV17,1,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7429650930920846,,0.7471483899973641,0.7883000293369302,0.7969806095978572,0.09687665141199582
2,CV17,2,RSF,6450,1613,202,"7.000,10.000",0.152-14.769,,0.7851170641119095,,0.7737747316931929,0.8246292946054109,0.8202530203554975,0.08608339866675957
