k,horizon,model,sampler,feature_set,best_cv_f1_macro,n_candidates,n_failed_candidates,final_fit_convergence_warnings,final_fit_other_warnings,elapsed_seconds,positive_weight_ratio
5,7,LogisticRegression,RandomOverSampler,CV17,0.7039948906168382,1000,0,0,0,38.53,4.205533596837944
5,7,RandomForest,RandomOverSampler,CV17,0.7124261955781881,1000,0,0,0,1468.13,4.205533596837944
5,7,AdaBoost,RandomOverSampler,CV17,0.7109758347103405,1000,0,0,0,1009.49,4.205533596837944
5,7,LogisticRegression,RandomOverSampler,CV17_THY_CONT,0.7019374097148624,1000,0,0,0,25.39,4.205533596837944
5,7,RandomForest,RandomOverSampler,CV17_THY_CONT,0.7276916712272614,1000,0,0,0,1660.96,4.205533596837944
5,7,AdaBoost,RandomOverSampler,CV17_THY_CONT,0.7084094056193807,1000,0,0,0,1185.51,4.205533596837944
5,10,LogisticRegression,RandomOverSampler,CV17,0.7814464831035235,1000,0,0,0,15.23,1.7175043327556325
5,10,RandomForest,RandomOverSampler,CV17,0.7816447579908619,1000,0,0,0,909.38,1.7175043327556325
5,10,AdaBoost,RandomOverSampler,CV17,0.7773552229323337,1000,0,0,0,741.3,1.7175043327556325
5,10,LogisticRegression,RandomOverSampler,CV17_THY_CONT,0.784198197182571,1000,0,0,0,22.53,1.7175043327556325
5,10,RandomForest,RandomOverSampler,CV17_THY_CONT,0.782454773445935,1000,0,0,0,1071.33,1.7175043327556325
5,10,AdaBoost,RandomOverSampler,CV17_THY_CONT,0.7811400753701612,1000,0,0,0,817.07,1.7175043327556325
