horizon,feature_set,k,rep_fold,model,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17,2,0,LogisticRegression,878,168,0.19134396355353075,0.5,0.7095381345400629,0.8349010731052985,0.5971407126239758,0.16933821235433372,0.4548736462093863,0.75,0.930116472545757,0.7873239436619718
7,CV17,2,0,RandomForest,878,168,0.19134396355353075,0.5,0.7087019459782067,0.8237508383635146,0.5749523434573751,0.1465359483000236,0.4759825327510917,0.6488095238095238,0.9090909090909091,0.8309859154929577
7,CV17,2,0,AdaBoost,878,168,0.19134396355353075,0.5,0.6977980258162491,0.8290912139503688,0.6040010468756455,0.19250393935552165,0.44280442804428044,0.7142857142857143,0.9209225700164745,0.7873239436619718
7,CV17,2,0,paper_ensemble,878,168,0.19134396355353075,0.5,0.7101894374282434,0.8340962441314553,0.6008160450216917,0.16383604275258726,0.46774193548387094,0.6904761904761905,0.9174603174603174,0.8140845070422535
7,CV17,3,0,LogisticRegression,878,168,0.19134396355353075,0.5,0.7133919515971644,0.8303739101274312,0.5818706102982306,0.18092172986779245,0.4641509433962264,0.7321428571428571,0.9265905383360522,0.8
7,CV17,3,0,RandomForest,878,168,0.19134396355353075,0.5,0.7076572512765186,0.8238430583501006,0.5742379143432247,0.14662501651995724,0.47577092511013214,0.6428571428571429,0.9078341013824884,0.8323943661971831
7,CV17,3,0,AdaBoost,878,168,0.19134396355353075,0.5,0.7019006243027696,0.8260060362173038,0.5993842727980361,0.21007324544924644,0.44814814814814813,0.7202380952380952,0.9226973684210527,0.7901408450704225
7,CV17,3,0,paper_ensemble,878,168,0.19134396355353075,0.5,0.7126461860708675,0.8328219315895371,0.5989729754878208,0.1710808415707207,0.475,0.6785714285714286,0.9153605015673981,0.8225352112676056
7,CV17,5,0,LogisticRegression,878,168,0.19134396355353075,0.5,0.6983916202234401,0.834372904091214,0.5971720931937875,0.16810300600678402,0.44086021505376344,0.7321428571428571,0.9248747913188647,0.780281690140845
7,CV17,5,0,RandomForest,878,168,0.19134396355353075,0.5,0.6966943027210883,0.8159456740442657,0.5612227722846762,0.13705110091421757,0.4675925925925926,0.6011904761904762,0.8987915407854985,0.8380281690140845
