horizon,arm,probabilities,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,base,calibrated,878,168,0.19134396355353075,0.43999999999999995,0.7384422316831452,0.8440727699530517,0.6179634040425726,0.10768249189922871,0.6666666666666666,0.4880952380952381,0.8860927152317881,0.9422535211267605
7,base,uncalibrated,878,168,0.19134396355353075,0.43999999999999995,0.6748584161766302,0.8440727699530517,0.6179634040425726,0.15810708391593856,0.403030303030303,0.7916666666666666,0.9361313868613139,0.7225352112676057
7,thy_locked,calibrated,878,168,0.19134396355353075,0.43999999999999995,0.7243328100470958,0.8466381623071764,0.6220693480215563,0.10735395528864845,0.652542372881356,0.4583333333333333,0.8802631578947369,0.9422535211267605
7,thy_locked,uncalibrated,878,168,0.19134396355353075,0.43999999999999995,0.6898933929555102,0.8466381623071764,0.6220693480215563,0.1566021485441326,0.42138364779874216,0.7976190476190477,0.9392857142857143,0.7408450704225352
7,thy_own,calibrated,878,168,0.19134396355353075,0.38999999999999996,0.7596902502253029,0.8474765258215964,0.6249100841759547,0.10681940292729261,0.6573426573426573,0.5595238095238095,0.8993197278911564,0.9309859154929577
7,thy_own,uncalibrated,878,168,0.19134396355353075,0.38999999999999996,0.661069806744196,0.8474765258215964,0.6249100841759547,0.1491673793358199,0.3850267379679144,0.8571428571428571,0.9523809523809523,0.676056338028169
10,base,calibrated,523,192,0.367112810707457,0.37999999999999995,0.7533623828117632,0.854607250755287,0.7846424063474808,0.14956751380328231,0.6401673640167364,0.796875,0.8626760563380281,0.7401812688821753
10,base,uncalibrated,523,192,0.367112810707457,0.37999999999999995,0.6995935360896781,0.854607250755287,0.7846424063474808,0.16999859899443956,0.555205047318612,0.9166666666666666,0.9223300970873787,0.5740181268882175
10,thy_locked,calibrated,523,192,0.367112810707457,0.37999999999999995,0.7476173241645554,0.8556457703927492,0.7894821209749883,0.14855144894015193,0.6333333333333333,0.7916666666666666,0.8586572438162544,0.7341389728096677
10,thy_locked,uncalibrated,523,192,0.367112810707457,0.37999999999999995,0.6920885670926811,0.8556457703927492,0.7894821209749883,0.17090090688173576,0.5479876160990712,0.921875,0.925,0.5589123867069486
10,thy_own,calibrated,523,192,0.367112810707457,0.37999999999999995,0.7561588208753196,0.8580375125881169,0.7934856954408889,0.1476512653772963,0.639344262295082,0.8125,0.8709677419354839,0.7341389728096677
10,thy_own,uncalibrated,523,192,0.367112810707457,0.37999999999999995,0.7125362764928327,0.8580375125881169,0.7934856954408889,0.16499167095840053,0.5686274509803921,0.90625,0.9170506912442397,0.6012084592145015
