horizon,comparison,metric,delta,ci_lo,ci_hi,p_bootstrap,n_boot_used,excludes_zero,threshold_base,threshold_other
7,locked pipeline,f1_macro,-0.013365469142860631,-0.035991227518354665,0.006912183293859081,0.217,2000,False,0.41999999999999993,0.41999999999999993
7,locked pipeline,roc_auc,0.0016012743125419782,-0.0047714360603317765,0.008555585488505714,0.638,2000,False,0.41999999999999993,0.41999999999999993
7,locked pipeline,auprc,-0.0007041547806437842,-0.01880648532601407,0.01663491260382627,0.949,2000,False,0.41999999999999993,0.41999999999999993
7,locked pipeline,brier,0.0003712410408054645,-0.001950088767319996,0.0027025903070324424,0.766,2000,False,0.41999999999999993,0.41999999999999993
7,independently optimized,f1_macro,0.009404414853446563,-0.012784863213757288,0.031937856757629855,0.434,2000,False,0.41999999999999993,0.4099999999999999
7,independently optimized,roc_auc,0.008819584171696815,0.000622623082888424,0.017226375588699733,0.029,2000,True,0.41999999999999993,0.4099999999999999
7,independently optimized,auprc,0.02561557280393456,0.005451064913992954,0.04457382334096543,0.008,2000,True,0.41999999999999993,0.4099999999999999
7,independently optimized,brier,-0.0032101564075195793,-0.005761680959891894,-0.0005947266886046439,0.015,2000,True,0.41999999999999993,0.4099999999999999
10,locked pipeline,f1_macro,-0.00667792366150366,-0.023147295791023252,0.007993427675582254,0.376,2000,False,0.4499999999999999,0.4499999999999999
10,locked pipeline,roc_auc,-0.001715130916414953,-0.007914900298319849,0.004315684808959816,0.587,2000,False,0.4499999999999999,0.4499999999999999
10,locked pipeline,auprc,0.0005241501000038395,-0.008004847159474953,0.008711640390765014,0.924,2000,False,0.4499999999999999,0.4499999999999999
10,locked pipeline,brier,0.00028823470129160644,-0.002904674355388837,0.0035900796430563503,0.846,2000,False,0.4499999999999999,0.4499999999999999
10,independently optimized,f1_macro,-0.012264203800679385,-0.03449131395716868,0.009514854608268996,0.293,2000,False,0.4499999999999999,0.36999999999999994
10,independently optimized,roc_auc,-0.0015892497482375978,-0.007933316418858824,0.004622240867842079,0.609,2000,False,0.4499999999999999,0.36999999999999994
10,independently optimized,auprc,-0.0020143476624822076,-0.012006581049256818,0.007509064908763159,0.66,2000,False,0.4499999999999999,0.36999999999999994
10,independently optimized,brier,0.00025433253334330996,-0.0033525852487266998,0.003806812053573592,0.876,2000,False,0.4499999999999999,0.36999999999999994
