horizon,feature_set,model,sampler,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17,LogisticRegression,none,878,169,0.19248291571753987,0.5,0.4827360621668022,0.8263993790737851,0.5718750130804656,0.12863182609446372,1.0,0.03550295857988166,0.8130733944954128,1.0
7,CV17,LogisticRegression,class_weight,878,169,0.19248291571753987,0.5,0.6918334723380595,0.8295624306256834,0.5773493512327417,0.1803045960233299,0.43820224719101125,0.6923076923076923,0.9148936170212766,0.7884344146685472
7,CV17,LogisticRegression,RandomOverSampler,878,169,0.19248291571753987,0.5,0.6935764769392376,0.8310229425559794,0.5855327871157122,0.17244769912565958,0.43795620437956206,0.7100591715976331,0.9188741721854304,0.7827926657263752
7,CV17,LogisticRegression,SMOTENC,878,169,0.19248291571753987,0.5,0.696739430781984,0.8331093881706879,0.588234825493672,0.17476114444775748,0.44280442804428044,0.7100591715976331,0.9192751235584844,0.7870239774330042
7,CV17,RandomForest,none,878,169,0.19248291571753987,0.5,0.6845608395575304,0.8379666335617296,0.6127658899147953,0.11106853714191472,0.7368421052631579,0.33136094674556216,0.8591022443890274,0.9717912552891397
7,CV17,RandomForest,class_weight,878,169,0.19248291571753987,0.5,0.7234645669291339,0.8354378614767026,0.6057448425172247,0.13588817069977208,0.5094339622641509,0.6390532544378699,0.9084084084084084,0.8533145275035261
7,CV17,RandomForest,RandomOverSampler,878,169,0.19248291571753987,0.5,0.7116584564860426,0.8310396341208969,0.589709525891403,0.1424427982701092,0.4767932489451477,0.6686390532544378,0.9126365054602185,0.8251057827926658
7,CV17,RandomForest,SMOTENC,878,169,0.19248291571753987,0.5,0.6935086155674391,0.8225352817953446,0.5571832311506177,0.14659441613009497,0.4581497797356828,0.6153846153846154,0.9001536098310292,0.8265162200282088
7,CV17,AdaBoost,none,878,169,0.19248291571753987,0.5,0.7259295227524972,0.8511154138256234,0.6256771820530791,0.188873736834866,0.7087378640776699,0.4319526627218935,0.8761290322580645,0.9576868829337094
7,CV17,AdaBoost,RandomOverSampler,878,169,0.19248291571753987,0.5,0.7075986047022633,0.8421436976823762,0.6177195477133453,0.2103867243763464,0.45454545454545453,0.7396449704142012,0.9270315091210614,0.7884344146685472
7,CV17,AdaBoost,SMOTENC,878,169,0.19248291571753987,0.5,0.7021048712630145,0.8278473723303927,0.591149931722922,0.21912689619945097,0.4658119658119658,0.6449704142011834,0.906832298136646,0.8236953455571228
7,CV17_THY_CONT,LogisticRegression,none,878,169,0.19248291571753987,0.5,0.6483780536643973,0.8374074661369877,0.5871038729602056,0.11490639559205633,0.7586206896551724,0.2603550295857988,0.8475609756097561,0.9802538787023978
7,CV17_THY_CONT,LogisticRegression,class_weight,878,169,0.19248291571753987,0.5,0.7035181995046238,0.8379749793441884,0.5833160551502781,0.16078838722661534,0.4492753623188406,0.7337278106508875,0.925249169435216,0.7856135401974612
7,CV17_THY_CONT,LogisticRegression,RandomOverSampler,878,169,0.19248291571753987,0.5,0.703778677462888,0.8371153637509284,0.5850434664651387,0.15947173147302737,0.445993031358885,0.757396449704142,0.9306260575296108,0.7757404795486601
7,CV17_THY_CONT,LogisticRegression,SMOTENC,878,169,0.19248291571753987,0.5,0.6987110179940164,0.8254813430033132,0.5616366360627352,0.16089595151803324,0.44485294117647056,0.7159763313609467,0.9207920792079208,0.7870239774330042
7,CV17_THY_CONT,RandomForest,none,878,169,0.19248291571753987,0.5,0.6871612010041914,0.8297543836222365,0.62833328520064,0.11191781014124359,0.7567567567567568,0.33136094674556216,0.8594527363184079,0.9746121297602257
7,CV17_THY_CONT,RandomForest,class_weight,878,169,0.19248291571753987,0.5,0.7427377975237304,0.8310229425559793,0.6257209323167996,0.11828581544509453,0.6492537313432836,0.514792899408284,0.8897849462365591,0.9337094499294781
7,CV17_THY_CONT,RandomForest,RandomOverSampler,878,169,0.19248291571753987,0.5,0.7464221670460032,0.8279767319585047,0.619786562102324,0.12102999783990263,0.6129032258064516,0.5621301775147929,0.8976486860304288,0.9153737658674189
7,CV17_THY_CONT,RandomForest,SMOTENC,878,169,0.19248291571753987,0.5,0.7050877363377364,0.8057018385758757,0.5678172784908998,0.13645755557282205,0.5081967213114754,0.5502958579881657,0.8906474820143885,0.8730606488011283
7,CV17_THY_CONT,AdaBoost,none,878,169,0.19248291571753987,0.5,0.7269900497512438,0.8416095676050108,0.6236082837788367,0.19901119973015105,0.7272727272727273,0.4260355029585799,0.8754813863928113,0.9619181946403385
