horizon,feature_set,model,sampler
7,CV17,AdaBoost,SMOTENC
7,CV17,GradientBoosting,SMOTENC
7,CV17,LogisticRegression,RandomOverSampler
7,CV17,MLP,RandomOverSampler
7,CV17,RandomForest,class_weight
7,CV17,SVC,SMOTENC
7,CV17,XGBoost,RandomOverSampler
7,CV17_THY_CONT,AdaBoost,RandomOverSampler
7,CV17_THY_CONT,GradientBoosting,RandomOverSampler
7,CV17_THY_CONT,LogisticRegression,RandomOverSampler
7,CV17_THY_CONT,MLP,RandomOverSampler
7,CV17_THY_CONT,RandomForest,RandomOverSampler
7,CV17_THY_CONT,SVC,class_weight
7,CV17_THY_CONT,XGBoost,RandomOverSampler
7,CV17_THY_STATES,AdaBoost,RandomOverSampler
7,CV17_THY_STATES,GradientBoosting,none
7,CV17_THY_STATES,LogisticRegression,class_weight
7,CV17_THY_STATES,MLP,RandomOverSampler
7,CV17_THY_STATES,RandomForest,RandomOverSampler
7,CV17_THY_STATES,SVC,RandomOverSampler
7,CV17_THY_STATES,XGBoost,SMOTENC
7,CV17_THY_CONT_STATES,AdaBoost,RandomOverSampler
7,CV17_THY_CONT_STATES,GradientBoosting,RandomOverSampler
7,CV17_THY_CONT_STATES,LogisticRegression,SMOTENC
7,CV17_THY_CONT_STATES,MLP,RandomOverSampler
7,CV17_THY_CONT_STATES,RandomForest,RandomOverSampler
7,CV17_THY_CONT_STATES,SVC,class_weight
7,CV17_THY_CONT_STATES,XGBoost,SMOTENC
7,CV17_THY_CONT_RATIO,AdaBoost,RandomOverSampler
7,CV17_THY_CONT_RATIO,GradientBoosting,none
7,CV17_THY_CONT_RATIO,LogisticRegression,RandomOverSampler
7,CV17_THY_CONT_RATIO,MLP,none
7,CV17_THY_CONT_RATIO,RandomForest,class_weight
7,CV17_THY_CONT_RATIO,SVC,class_weight
7,CV17_THY_CONT_RATIO,XGBoost,RandomOverSampler
10,CV17,AdaBoost,RandomOverSampler
10,CV17,GradientBoosting,SMOTENC
10,CV17,LogisticRegression,SMOTENC
10,CV17,MLP,SMOTENC
10,CV17,RandomForest,class_weight
10,CV17,SVC,class_weight
10,CV17,XGBoost,RandomOverSampler
10,CV17_THY_CONT,AdaBoost,SMOTENC
10,CV17_THY_CONT,GradientBoosting,SMOTENC
10,CV17_THY_CONT,LogisticRegression,class_weight
10,CV17_THY_CONT,MLP,none
10,CV17_THY_CONT,RandomForest,class_weight
10,CV17_THY_CONT,SVC,class_weight
10,CV17_THY_CONT,XGBoost,RandomOverSampler
10,CV17_THY_STATES,AdaBoost,none
10,CV17_THY_STATES,GradientBoosting,SMOTENC
10,CV17_THY_STATES,LogisticRegression,class_weight
10,CV17_THY_STATES,MLP,RandomOverSampler
10,CV17_THY_STATES,RandomForest,none
10,CV17_THY_STATES,SVC,class_weight
10,CV17_THY_STATES,XGBoost,RandomOverSampler
10,CV17_THY_CONT_STATES,AdaBoost,RandomOverSampler
10,CV17_THY_CONT_STATES,GradientBoosting,RandomOverSampler
10,CV17_THY_CONT_STATES,LogisticRegression,RandomOverSampler
10,CV17_THY_CONT_STATES,MLP,RandomOverSampler
10,CV17_THY_CONT_STATES,RandomForest,RandomOverSampler
10,CV17_THY_CONT_STATES,SVC,class_weight
10,CV17_THY_CONT_STATES,XGBoost,RandomOverSampler
10,CV17_THY_CONT_RATIO,AdaBoost,RandomOverSampler
10,CV17_THY_CONT_RATIO,GradientBoosting,SMOTENC
10,CV17_THY_CONT_RATIO,LogisticRegression,class_weight
10,CV17_THY_CONT_RATIO,MLP,none
10,CV17_THY_CONT_RATIO,RandomForest,class_weight
10,CV17_THY_CONT_RATIO,SVC,class_weight
10,CV17_THY_CONT_RATIO,XGBoost,RandomOverSampler
