horizon,feature_set,model,sampler,status,replication_only,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17,AdaBoost,none,ok,False,878,169,0.19248291571753987,0.5,0.7086752622434717,0.8489163001477205,0.6248506744412947,0.1562755783372036,0.7441860465116279,0.378698224852071,0.8674242424242424,0.9689703808180536
7,CV17,AdaBoost,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7127695475801841,0.8487201742599377,0.6300311760965729,0.19172539329441368,0.46153846153846156,0.7455621301775148,0.9289256198347108,0.7926657263751763
7,CV17,AdaBoost,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7128563220930746,0.8360679680523447,0.5944150197328335,0.19528484096319323,0.46875,0.7100591715976331,0.9212218649517685,0.8081805359661495
7,CV17,AdaBoost,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7182073106542028,0.8356548518206325,0.5726454058399042,0.19622700729641931,0.48717948717948717,0.6745562130177515,0.9145962732919255,0.8307475317348378
7,CV17,AdaBoost,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7126461860708675,0.8374241577019054,0.5731058855369817,0.19316514213714772,0.4769874476987448,0.6745562130177515,0.9139280125195618,0.8236953455571228
7,CV17,AdaBoost,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7239892484119086,0.8419934735981172,0.6031601427917946,0.18672212165066818,0.5,0.6686390532544378,0.9141104294478528,0.840620592383639
7,CV17,GradientBoosting,none,ok,False,878,169,0.19248291571753987,0.5,0.715580008227067,0.849012276645997,0.6237692800691,0.10739263021276332,0.7362637362637363,0.39644970414201186,0.8703939008894537,0.9661495063469676
7,CV17,GradientBoosting,RandomOverSampler,ok,False,878,169,0.19248291571753987,0.5,0.7157930260267085,0.8421228332262292,0.6073252556909413,0.15101623666467667,0.4652014652014652,0.7514792899408284,0.9305785123966942,0.7940761636107193
7,CV17,GradientBoosting,SMOTENC,ok,False,878,169,0.19248291571753987,0.5,0.7166511315961699,0.8361263885295566,0.5899203107017715,0.1410381944572698,0.47950819672131145,0.6923076923076923,0.917981072555205,0.8208744710860366
7,CV17,GradientBoosting,SMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7284096604435535,0.836781532452575,0.5742875321500748,0.12917351877313002,0.5276381909547738,0.621301775147929,0.9057437407952872,0.8674188998589563
7,CV17,GradientBoosting,BorderlineSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7280965140233475,0.836439355371763,0.546947969791383,0.13088349524675957,0.5192307692307693,0.6390532544378699,0.908955223880597,0.8589562764456982
7,CV17,GradientBoosting,SVMSMOTE,ok,True,878,169,0.19248291571753987,0.5,0.7255392310096905,0.8414134417172282,0.5850731782594752,0.12955693937228507,0.5092592592592593,0.650887573964497,0.9108761329305136,0.8504936530324401
7,CV17,LogisticRegression,none,ok,False,878,169,0.19248291571753987,0.5,0.5664449414703576,0.8363725891120921,0.5919434034764977,0.12063298575224668,0.7666666666666667,0.13609467455621302,0.8278301886792453,0.9901269393511989
