feature,mean_abs_shap,block,explained_member
Age,0.1197011594007096,cardiovascular,RandomForest
LVEF,0.09404299505729882,cardiovascular,RandomForest
fT4,0.036364519068014,thyroid,RandomForest
PostIsch_DCM,0.033602051130994286,cardiovascular,RandomForest
fT3,0.030189013230170054,thyroid,RandomForest
Diabetes,0.02480756144999855,cardiovascular,RandomForest
Dyslipidemia,0.022378351140111215,cardiovascular,RandomForest
AFib,0.022295357384571644,cardiovascular,RandomForest
TSH,0.020012285285990153,thyroid,RandomForest
Vessels,0.01908058230860551,cardiovascular,RandomForest
Ischemia,0.017116757623441226,cardiovascular,RandomForest
Angina,0.010867229050150294,cardiovascular,RandomForest
Previous_CABG,0.010066040785454219,cardiovascular,RandomForest
Acute_MI,0.008054737031598902,cardiovascular,RandomForest
Hypertension,0.007492219562282207,cardiovascular,RandomForest
Angiography,0.006407044436144765,cardiovascular,RandomForest
Previous_MI,0.006094130443376096,cardiovascular,RandomForest
Smoke,0.005637732707799826,cardiovascular,RandomForest
Gender,0.004009668023523735,cardiovascular,RandomForest
Previous_PCI,0.002945989292358432,cardiovascular,RandomForest
