feature_set,model,c_harrell_mean,c_harrell_std,c_uno_mean,c_uno_std,auc_time_dependent_mean,auc_time_dependent_std,integrated_brier_mean,integrated_brier_std
CV17,Cox,0.7889,0.0128,0.7816,0.0122,0.8305,0.0103,0.0863,0.0027
CV17,RSF,0.7852,0.0115,0.7793,0.0095,0.83,0.0101,0.0887,0.0016
CV17_THY_CONT,Cox,0.7903,0.0119,0.7826,0.0121,0.8305,0.0088,0.0863,0.0032
CV17_THY_CONT,RSF,0.7927,0.0095,0.7815,0.0084,0.8265,0.01,0.0885,0.0017
CV17_THY_CONT_RATIO,Cox,0.7895,0.0127,0.7814,0.0141,0.829,0.0105,0.0864,0.0032
CV17_THY_CONT_RATIO,RSF,0.7905,0.0064,0.7791,0.003,0.8211,0.0083,0.0882,0.0015
CV17_THY_CONT_STATES,Cox,0.7929,0.0121,0.784,0.013,0.8295,0.011,0.086,0.003
CV17_THY_CONT_STATES,RSF,0.7921,0.0094,0.7797,0.0066,0.8252,0.0106,0.0881,0.0021
CV17_THY_STATES,Cox,0.7931,0.0138,0.7841,0.0143,0.83,0.013,0.0862,0.0026
CV17_THY_STATES,RSF,0.7885,0.012,0.7806,0.0091,0.8293,0.0125,0.0891,0.0015
