feature,importance_mean,importance_std,block
Age,0.07314891794522968,0.006631573477957803,cardiovascular
LVEF,0.06578909799376889,0.008851222745468316,cardiovascular
fT4,0.011428547434896186,0.0011668070625886124,thyroid
Diabetes,0.005945632731212114,0.0016799057406869944,cardiovascular
fT3,0.005817986378790607,0.004820749671081745,thyroid
TSH,0.004193014721319499,0.0020860659093817173,thyroid
Dyslipidemia,0.0031894792532688896,0.002353344737422486,cardiovascular
Vessels,0.002253126075966416,0.0014334029951270065,cardiovascular
AFib,0.001717347307249839,0.002022149635430293,cardiovascular
Acute_MI,0.001058121079283536,0.0004148455454682891,cardiovascular
Smoke,0.0009900990099010354,0.0003080442648864225,cardiovascular
PostIsch_DCM,0.00033843078964388427,0.0030348368269091474,cardiovascular
Ischemia,0.000268729162992698,0.000271911970571774,cardiovascular
Hypertension,0.00014948059691468618,0.0003853989271304118,cardiovascular
Angina,-0.00023849713215595703,0.00039977696948915423,cardiovascular
Previous_CABG,-0.0002796462852391768,0.002839163022288347,cardiovascular
Gender,-0.0005962428303898593,0.00040655174654692693,cardiovascular
Angiography,-0.0008045079317091641,0.0006147822023488021,cardiovascular
Previous_PCI,-0.0009262758336901822,0.0004104756872357515,cardiovascular
Previous_MI,-0.0020540985396249266,0.0024528270683093116,cardiovascular
