analysis,feature_set,fold,model,n_train,n_test,events_test,eval_times,brier_grid,inner_best_c,c_harrell,metric_failures,c_uno,auc_time_dependent,auc_at_last_time,integrated_brier
strict-cohort conditional sensitivity,CV17,0,RSF,3512,878,168,6.917,0.075-6.917,0.7967516594924013,0.8398802646780801,,0.8390605201230917,0.867101240556861,0.867101240556861,0.07765710566213964
strict-cohort conditional sensitivity,CV17,1,RSF,3512,878,168,6.914,0.073-6.914,0.8144676829047915,0.7822247895692358,,0.7842004291878037,0.8153851360498172,0.8153851360498172,0.0836991874210693
strict-cohort conditional sensitivity,CV17,2,RSF,3512,878,169,6.917,0.073-6.917,0.8056565469280876,0.8156512134690588,,0.8156512134690588,0.8437502608057019,0.8437502608057019,0.08442264341156404
strict-cohort conditional sensitivity,CV17,3,RSF,3512,878,169,6.917,0.073-6.917,0.8068724839903998,0.7977583427855054,,0.7977179123624333,0.8316817572099262,0.8316817572099262,0.08629974999082095
strict-cohort conditional sensitivity,CV17,4,RSF,3512,878,169,6.917,0.073-6.917,0.8095873709750746,0.811343145450203,,0.8141436878634403,0.8367119382964454,0.8367119382964454,0.08473034443658295
strict-cohort conditional sensitivity,CV17_THY_CONT,0,RSF,3512,878,168,6.917,0.075-6.917,0.7977093479625483,0.841695800261077,,0.8409159476256561,0.8682971609523571,0.8682971609523571,0.07754857941523467
strict-cohort conditional sensitivity,CV17_THY_CONT,1,RSF,3512,878,168,6.914,0.073-6.914,0.810855592116664,0.7877162448048733,,0.7897813872017106,0.8200301204819277,0.8200301204819277,0.08258015054689108
strict-cohort conditional sensitivity,CV17_THY_CONT,2,RSF,3512,878,169,6.917,0.073-6.917,0.8071457464103349,0.8171587211558554,,0.8171587211558554,0.8441592041461847,0.8441592041461847,0.08246274324283549
strict-cohort conditional sensitivity,CV17_THY_CONT,3,RSF,3512,878,169,6.917,0.073-6.917,0.8080523364645545,0.8041758700973076,,0.8042670987779353,0.8376509054325956,0.8376509054325956,0.08528000044143877
strict-cohort conditional sensitivity,CV17_THY_CONT,4,RSF,3512,878,169,6.917,0.073-6.917,0.8108968077332959,0.8154331860520659,,0.8185631213655975,0.8421948356807513,0.8421948356807513,0.08399844551347317
