horizon,feature_set,model,n,n_events,prevalence,threshold,f1_macro,roc_auc,auprc,brier,precision_event,recall_event,precision_free,recall_free
7,CV17,GradientBoosting,2634,506,0.1921032649962035,0.5,0.7007297046406227,0.8235190867484917,0.5737669326215519,0.15602351940172518,0.4467564259485924,0.7213438735177866,0.9223995597138139,0.7875939849624061
7,CV17,LogisticRegression,2634,506,0.1921032649962035,0.5,0.6968278834612784,0.8368227881957859,0.5893952259257766,0.1637020830325983,0.43572241183162685,0.7569169960474308,0.9299145299145299,0.7669172932330827
7,CV17,AdaBoost,2634,506,0.1921032649962035,0.5,0.6957924344531805,0.8275844935956492,0.5723904866655363,0.19654242075246933,0.43922984356197353,0.7213438735177866,0.9217970049916805,0.7810150375939849
7,CV17,SVC,2634,506,0.1921032649962035,0.5,0.6886861072797731,0.8087396727985973,0.5229077323733504,0.15688551747903612,0.4372574385510996,0.6679841897233202,0.9097259537882859,0.7955827067669173
7,CV17,RandomForest,2634,506,0.1921032649962035,0.5,0.6884423055603947,0.8118234382893994,0.5254969053432335,0.12564825360668186,0.5328638497652582,0.44861660079051385,0.873641304347826,0.9064849624060151
7,CV17,XGBoost,2634,506,0.1921032649962035,0.5,0.6819927783886595,0.7858842387589526,0.5017523093341576,0.14994300958838483,0.48616600790513836,0.48616600790513836,0.8778195488721805,0.8778195488721805
7,CV17,MLP,2634,506,0.1921032649962035,0.5,0.6811011750659414,0.8167209649618116,0.5516168399973954,0.16211742997557818,0.42168674698795183,0.691699604743083,0.9135254988913526,0.7744360902255639
7,CV17,KNeighbors,2634,506,0.1921032649962035,0.5,0.6036743555319081,0.6904788218074831,0.32463002758089526,0.22419134396355353,0.32790697674418606,0.5573122529644269,0.8737316798196166,0.7283834586466166
10,CV17,RandomForest,1568,577,0.367984693877551,0.5,0.7758067635369609,0.8591727628378107,0.7751758932365008,0.14569107142857143,0.7087542087542088,0.729636048526863,0.839835728952772,0.8254288597376388
10,CV17,LogisticRegression,1568,577,0.367984693877551,0.5,0.7738621420996818,0.8634679183710587,0.7925390809843573,0.14926746920468265,0.6760772659732541,0.7885615251299827,0.8636871508379889,0.7800201816347124
10,CV17,SVC,1568,577,0.367984693877551,0.5,0.76549764450759,0.8511770579933439,0.7603878693459802,0.15316997858005404,0.6686656671664168,0.7729636048526863,0.8546059933407325,0.7769929364278506
10,CV17,GradientBoosting,1568,577,0.367984693877551,0.5,0.7633093870717633,0.8570278083339309,0.7842070273828464,0.15049056158382948,0.6771653543307087,0.7452339688041595,0.842443729903537,0.79313824419778
10,CV17,AdaBoost,1568,577,0.367984693877551,0.5,0.7619380595881902,0.8440216716479512,0.7573761637181677,0.18935456592354855,0.672360248447205,0.7504332755632582,0.8441558441558441,0.7870837537840565
10,CV17,MLP,1568,577,0.367984693877551,0.5,0.7604681561801381,0.852752764481722,0.7797417588131543,0.15700058039767184,0.658357771260997,0.7781629116117851,0.8555304740406321,0.7648839556004037
10,CV17,XGBoost,1568,577,0.367984693877551,0.5,0.7499515660316436,0.8332391873481787,0.749908813613853,0.17350181762813766,0.6897163120567376,0.6741767764298093,0.8127490039840638,0.8234106962663976
10,CV17,KNeighbors,1568,577,0.367984693877551,0.5,0.7063117905430571,0.773355345422494,0.6241823594598921,0.1980357142857143,0.6141479099678456,0.6620450606585788,0.7938689217758985,0.7578203834510595
